rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance
17,800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02767347098015345,0.003815879224094252,0.0007658209960893952,0.20069319575259162,0.008926338260381191,0.013678692484668211,7.967951473874512e-05,0.005825082684478364,0.121602962949137,0.0028046697311405206,0.014787280598009187,5.272378574141752
18,800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013985191298266374,0.000964429823550131,0.0001955855756491055,0.20279917820162574,0.01225941497250375,0.025482292549180108,0.0001502932554680491,0.005897948749233898,0.18260586428716125,0.0063512824597051435,0.03334490167206115,5.250105295050786
19,800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.011224021505393473,0.0006253368153992816,0.00012597865875353515,0.20145728773876356,0.005399178363354849,0.004987940095548945,2.9151126999319148e-05,0.005844321792343205,0.06183103815107564,0.000725829623734287,0.0038230772788397714,5.267182757257274
0,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.007647621582567356,0.0002901689068579372,5.8486115870150025e-05,0.20155886619093907,0.00534699299901035,0.004875542692826135,2.85903341314657e-05,0.0058640311310438255,0.043472874753546706,0.00035933638470902937,0.0018898908393375588,5.259391811569228
1,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.008652618779265098,0.00037163508958009414,7.486781173929102e-05,0.2014551742783041,0.0044184455859523205,0.0033269510544923693,1.9522661396021546e-05,0.00586803384728494,0.06454390421278094,0.0007923970167015733,0.004165915571028642,5.257358979428841
2,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.011447947305896806,0.0006529103728754877,0.00013105549751858995,0.20072509637334662,0.005041636188205922,0.0043536574271390415,2.5418095454227533e-05,0.005838331536096711,0.05515733706604014,0.0005776270436406992,0.0030423318322167657,5.266948398124491
3,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.011312672516785943,0.0006358353215934474,0.000127976559472044,0.20127312076863843,0.0053153769121057105,0.004835906513476759,2.8253231717746436e-05,0.0058423858358324365,0.04729374281797205,0.00042463824282912386,0.002236698109732483,5.267302574611819
4,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.024915227875426105,0.0030846772742569775,0.00062076858008441,0.2012426341209188,0.00952218005479608,0.015618854035971201,9.067191299595629e-05,0.005805285892750722,0.141251399135831,0.0037767654332183927,0.019951957757829843,5.282816238028229
5,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00875766280691144,0.0003827311407520926,7.669665783955996e-05,0.20039304272144107,0.002718772568437623,0.0012707516573982629,7.391724278888909e-06,0.005816812620982707,0.029238508393774544,0.00016207262102484112,0.0008548903730928245,5.274736520499623
6,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0102753801611736,0.0005225889459536837,0.00010558343745663999,0.20203917108112288,0.005525075863735121,0.005229650034692874,3.052646330002839e-05,0.005837190461602493,0.06404330148675454,0.0007779369269131909,0.004101544465323337,5.2723354856003946
7,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013940083501853846,0.0009664110481856674,0.0001943259280386578,0.20107999427726306,0.0072284751586449095,0.008951077623069006,5.225085311914655e-05,0.0058373812985918,0.06245682235991089,0.0007403868976943454,0.0039008546592974648,5.268670571352896
8,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00797389682114294,0.0003160283945874691,6.358303051423348e-05,0.20119404333029076,0.005264921612135797,0.004732002065627158,2.771939958193459e-05,0.005857858723960803,0.05801085644375831,0.0006397120441602098,0.003365259465338335,5.26058481477572
9,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013210963555146372,0.0008668606929922351,0.00017452955805540566,0.20133518507219822,0.0053088294343460905,0.004821788698283801,2.8183669962979433e-05,0.005845065332914885,0.0674329604520908,0.0008634340213958727,0.004547204155333242,5.266417633141202
10,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010382768458031589,0.0005374677967747593,0.00010780188085309567,0.20057365576132002,0.004415276020221953,0.0033556742148313527,1.9494662334747005e-05,0.00580946214879407,0.054130534824956465,0.0005551011521273346,0.0029301148004358245,5.27852408377579
11,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.01113888948627224,0.0006165489169366737,0.00012407485898738624,0.20124090007951484,0.0037363240704226526,0.0023804851707780956,1.3960117559219699e-05,0.00586440013598431,0.03430708045530613,0.00022384221792964108,0.001176975769366848,5.258059807720452
12,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010783229558304606,0.0005785558924012669,0.00011627803970709415,0.2009797864550096,0.003685515071161967,0.0023230007288206193,1.3583021339761997e-05,0.005847187722002161,0.05664127606133828,0.0006094426539323591,0.003208234153856733,5.264210066617373
13,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010307344218225814,0.0005283679295835182,0.00010624134483299312,0.20107455219081333,0.004747196996838267,0.0038428702540519812,2.2535879326790256e-05,0.005864335207005253,0.03267751030114086,0.00020310525695269296,0.0010678196794811673,5.257469429901968
14,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.012705788264304184,0.0008022077616503421,0.0001614370554173299,0.2012409541952243,0.007249202814890687,0.00901916317226682,5.255094145141906e-05,0.005826587283952113,0.07977638242269507,0.001206771880190861,0.006364271192452089,5.273798053237308
15,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0199436037098703,0.0019754597604124615,0.0003977473289363523,0.20134418169738144,0.003309307624242664,0.0018745175234351156,1.0951516951870626e-05,0.0058423123896978076,0.03551223332853657,0.0002394105673229312,0.0012611187159804237,5.26759837747409
16,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.008889203537123544,0.00039325778206977905,7.901793952440972e-05,0.20093166143725263,0.006596350241453156,0.0074720651210900485,4.351183650791911e-05,0.005823267838646924,0.06754524285018557,0.0008650604703028357,0.004562359831690545,5.274035733124389
