N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.01176374699255176,0.0006921343562967513,0.00013838574330477056,0.19994057807677723
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010270789817858781,0.0005237127531240874,0.00010548912348263162,0.20142553881562106
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.023627323753572186,0.0027727002548410522,0.0005582504277561164,0.2013381817170564
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.02767347098015345,0.003815879224094252,0.0007658209960893952,0.20069319575259162
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013985191298266374,0.000964429823550131,0.0001955855756491055,0.20279917820162574
800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.011224021505393473,0.0006253368153992816,0.00012597865875353515,0.20145728773876356
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.007647621582567356,0.0002901689068579372,5.8486115870150025e-05,0.20155886619093907
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.008652618779265098,0.00037163508958009414,7.486781173929102e-05,0.2014551742783041
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.011447947305896806,0.0006529103728754877,0.00013105549751858995,0.20072509637334662
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.011312672516785943,0.0006358353215934474,0.000127976559472044,0.20127312076863843
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.024915227875426105,0.0030846772742569775,0.00062076858008441,0.2012426341209188
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00875766280691144,0.0003827311407520926,7.669665783955996e-05,0.20039304272144107
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0102753801611736,0.0005225889459536837,0.00010558343745663999,0.20203917108112288
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013940083501853846,0.0009664110481856674,0.0001943259280386578,0.20107999427726306
1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00797389682114294,0.0003160283945874691,6.358303051423348e-05,0.20119404333029076
