N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance
3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004654609940477293,0.003709148844276763,2.166539369799003e-05,0.0058410688294215675
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.002820294846346295,0.0013591618823681386,7.95406302032747e-06,0.005852182233413353
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0016806538208208426,0.0004827846091529808,2.8245972654396967e-06,0.0058506365196589385
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.003632667534250809,0.002252100239548408,1.3196273414399852e-05,0.005859540877739071
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00255439615379757,0.0011156274050579983,6.524939710535821e-06,0.005848672846286532
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0024807703431172935,0.001051344844904735,6.154221495290294e-06,0.005853665926186135
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0034029815456914077,0.001978307652031859,1.1580283400316282e-05,0.005853631202620346
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.001876410407705563,0.000601594173138829,3.5209160181457565e-06,0.005852643152734194
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0019140767168309828,0.0006269042819151691,3.6636896779144745e-06,0.005844097390309793
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004190065760199846,0.002999246922012337,1.7556651074799115e-05,0.005853686452404368
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.002468089973061501,0.0010417572551373634,6.091468115126721e-06,0.005847300880398971
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0018119957147769985,0.0005613978006124616,3.2833284703702056e-06,0.005848488303281971
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0031143285204928445,0.001656927060451328,9.69904213355515e-06,0.005853632525570101
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0017215156183508086,0.0005067146592859231,2.963616024225767e-06,0.0058486881520305335
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0015924658948740192,0.0004340257662843674,2.535947626336911e-06,0.005842850409658386
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.002254894785518348,0.000869965027856366,5.084550493757838e-06,0.005844545850637704
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0031097715277989594,0.0016605716130608165,9.670678955109073e-06,0.005823704849009059
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0016563416204758233,0.00046985433604368503,2.7434675637204763e-06,0.005838974663554878
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0030710658191733424,0.0016131539989297325,9.431445265694832e-06,0.005846587041257217
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0036075038059870898,0.0022270164566174084,1.3014083710211337e-05,0.00584373037367595
6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0021035841183051703,0.0007579407472728206,4.42506614278574e-06,0.005838274507219413
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0018369504313977332,0.0005769890197796288,3.3743868874123185e-06,0.005848268808826048
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.001911512498736451,0.0006244257029587777,3.65388003282567e-06,0.005851584929179134
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0029614599439610548,0.001503376348611655,8.770244999685813e-06,0.005833698932263368
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0016301176620322783,0.00045366781184349525,2.6572835920695814e-06,0.005857333323410394
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0013588937656308243,0.0003163844749767331,1.8465922662703214e-06,0.005836545128853493
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0017449380081122718,0.0005199029339233028,3.044808652154823e-06,0.0058564944597985285
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.002339201059030275,0.0009360575991617954,5.471861594568359e-06,0.005845646250260889
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0016746603805940592,0.00048052797335411434,2.8044873903314395e-06,0.005836262498426362
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0021210790579664837,0.0007689304736195473,4.4989763701439855e-06,0.005850953401503498
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0033374451322292346,0.0019035604780924626,1.1138540010640614e-05,0.0058514242856115735
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0015548853546609633,0.0004131974858598316,2.4176684661391496e-06,0.005851120950332432
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0016287365932817581,0.0004529438441727648,2.652782890295067e-06,0.005856758899417176
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0024900579313880318,0.0010606436191565626,6.200388501668444e-06,0.0058458735711803675
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0020432678154111506,0.0007147465798796857,4.174943365495055e-06,0.005841151931357027
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0017232300632130124,0.0005073974165302534,2.9695218507611226e-06,0.005852457568798177
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0023579495288327296,0.0009507168157594451,5.559925980522492e-06,0.005848140990418004
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0027845985426567395,0.0013294385585412801,7.753989043766037e-06,0.00583252907323078
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0011344643164178554,0.00022009785552972927,1.2870092852254321e-06,0.005847441276189954
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0016767231329116192,0.00048051427351154634,2.8114004644409555e-06,0.005850815718533281
12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00189439690150235,0.0006138251158620892,3.588739620421704e-06,0.0058465180516139095
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.002117111740130387,0.0007670658778064522,4.482162120197916e-06,0.005843255774869528
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0016315328505477106,0.00045561516202878355,2.6618994424163385e-06,0.005842429454198394
25600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0015054731824631295,0.00038763183744082127,2.2664495031156633e-06,0.005846912673837521
