rep,method,rmse,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
32,SS,1.3407365266074667,-4.108463123244841,0.936127744510978,0,static,power,500,0.1
33,RV,0.6125981232707848,19.525769995840115,0.003992015968063872,1,static,power,500,0.1
33,Oracle,,23.23760561502651,0.001996007984031936,1,static,power,500,0.1
33,DM,,-0.1451300806092351,0.7704590818363274,0,static,power,500,0.1
33,cDM,,0.0738795703456522,0.10578842315369262,0,static,power,500,0.1
33,SS,0.8672401425106416,7.823207581582379,0.027944111776447105,1,static,power,500,0.1
34,RV,0.8239702121209925,20.614072326398976,0.001996007984031936,1,static,power,500,0.1
34,Oracle,,24.64510429740297,0.001996007984031936,1,static,power,500,0.1
34,DM,,-0.36989354540509,0.9640718562874252,0,static,power,500,0.1
34,cDM,,0.008896236454300644,0.4031936127744511,0,static,power,500,0.1
34,SS,0.8242939107478293,10.174697108614046,0.09381237524950099,1,static,power,500,0.1
35,RV,1.1504960070235426,26.221366255719182,0.011976047904191617,1,static,power,500,0.1
35,Oracle,,29.463032420717564,0.001996007984031936,1,static,power,500,0.1
35,DM,,-0.18524056600178557,0.7644710578842315,0,static,power,500,0.1
35,cDM,,0.0078016651646724815,0.45109780439121755,0,static,power,500,0.1
35,SS,1.48749639891148,-8.677366405871899,1.0,0,static,power,500,0.1
36,RV,1.001264112228854,15.73259204553862,0.003992015968063872,1,static,power,500,0.1
36,Oracle,,29.876480610783222,0.001996007984031936,1,static,power,500,0.1
36,DM,,-0.08231710215902525,0.6826347305389222,0,static,power,500,0.1
36,cDM,,0.03771238231734115,0.2994011976047904,0,static,power,500,0.1
36,SS,0.7412083790234805,7.167526356644184,0.01996007984031936,1,static,power,500,0.1
37,RV,0.5404273294478976,16.75422924086726,0.001996007984031936,1,static,power,500,0.1
37,Oracle,,28.222511354220796,0.001996007984031936,1,static,power,500,0.1
37,DM,,-0.2541926004427299,0.8782435129740519,0,static,power,500,0.1
37,cDM,,0.13442962753030066,0.00998003992015968,1,static,power,500,0.1
37,SS,0.8773681727752406,9.249635455649397,0.013972055888223553,1,static,power,500,0.1
38,RV,0.958807060602258,25.02426461944412,0.001996007984031936,1,static,power,500,0.1
38,Oracle,,27.945086638577646,0.001996007984031936,1,static,power,500,0.1
38,DM,,0.06262281715381655,0.41317365269461076,0,static,power,500,0.1
38,cDM,,0.0301570922666182,0.3093812375249501,0,static,power,500,0.1
38,SS,0.887902735215592,2.3831755024953587,0.24750499001996007,0,static,power,500,0.1
39,RV,1.0771587121341268,35.07571551928309,0.003992015968063872,1,static,power,500,0.1
39,Oracle,,36.29160905028648,0.001996007984031936,1,static,power,500,0.1
39,DM,,0.2765664683721744,0.08383233532934131,1,static,power,500,0.1
39,cDM,,-0.017443898446680674,0.6427145708582834,0,static,power,500,0.1
39,SS,0.8039698658796198,10.158855748136189,0.017964071856287425,1,static,power,500,0.1
40,RV,1.1064380181865976,39.066856724332126,0.005988023952095809,1,static,power,500,0.1
40,Oracle,,36.44865715374775,0.001996007984031936,1,static,power,500,0.1
40,DM,,-0.10857675542860896,0.6946107784431138,0,static,power,500,0.1
40,cDM,,-0.03059692653817815,0.7045908183632734,0,static,power,500,0.1
40,SS,1.2384249429712142,-8.81094813605039,0.998003992015968,0,static,power,500,0.1
41,RV,0.6968796823756427,27.91858336783192,0.003992015968063872,1,static,power,500,0.1
41,Oracle,,35.88341290004825,0.001996007984031936,1,static,power,500,0.1
41,DM,,0.2933429914319268,0.09580838323353294,1,static,power,500,0.1
41,cDM,,-0.0036478502088994245,0.530938123752495,0,static,power,500,0.1
41,SS,0.8250949850216527,5.197946030775776,0.017964071856287425,1,static,power,500,0.1
42,RV,1.078336544377908,46.27649463938951,0.011976047904191617,1,static,power,500,0.1
42,Oracle,,30.654363206176107,0.001996007984031936,1,static,power,500,0.1
42,DM,,0.2213205544839028,0.15568862275449102,0,static,power,500,0.1
42,cDM,,0.08987182935981032,0.09780439121756487,1,static,power,500,0.1
42,SS,0.7924936874988855,12.072674873163905,0.005988023952095809,1,static,power,500,0.1
43,RV,0.945864086736758,14.620089252966258,0.06187624750499002,1,static,power,500,0.1
43,Oracle,,26.00019156901368,0.001996007984031936,1,static,power,500,0.1
43,DM,,0.2236326450091486,0.16966067864271456,0,static,power,500,0.1
43,cDM,,0.03165917837798666,0.3013972055888224,0,static,power,500,0.1
43,SS,0.932538088546841,5.212375639474539,0.14570858283433133,0,static,power,500,0.1
44,RV,1.1022799119380193,22.922418339389655,0.10978043912175649,0,static,power,500,0.1
44,Oracle,,17.704115887305964,0.001996007984031936,1,static,power,500,0.1
44,DM,,0.15774196225493328,0.21157684630738524,0,static,power,500,0.1
44,cDM,,-0.026130352175219373,0.6686626746506986,0,static,power,500,0.1
44,SS,1.209460118405708,-3.402640571565878,0.7764471057884231,0,static,power,500,0.1
45,RV,1.065363684366777,39.41260891165491,0.003992015968063872,1,static,power,500,0.1
45,Oracle,,37.7352352100479,0.001996007984031936,1,static,power,500,0.1
45,DM,,0.0822544638632807,0.36127744510978044,0,static,power,500,0.1
45,cDM,,0.14265867852555916,0.00998003992015968,1,static,power,500,0.1
45,SS,0.9111057112000397,24.330076805817768,0.003992015968063872,1,static,power,500,0.1
46,RV,1.0271078930961346,40.664496893343596,0.001996007984031936,1,static,power,500,0.1
46,Oracle,,39.843077482845125,0.001996007984031936,1,static,power,500,0.1
46,DM,,-0.07677955590271429,0.6287425149700598,0,static,power,500,0.1
46,cDM,,0.15891697094352075,0.001996007984031936,1,static,power,500,0.1
46,SS,0.8380419584502875,25.793800980217316,0.001996007984031936,1,static,power,500,0.1
47,RV,0.9424886810130173,22.64812921191548,0.003992015968063872,1,static,power,500,0.1
47,Oracle,,22.47906367116599,0.001996007984031936,1,static,power,500,0.1
47,DM,,0.035216106126301515,0.46107784431137727,0,static,power,500,0.1
47,cDM,,-0.03868396445814495,0.7445109780439122,0,static,power,500,0.1
47,SS,0.8074049900308993,4.716679787668304,0.2694610778443114,0,static,power,500,0.1
48,RV,0.8139101761601342,23.649258569935814,0.013972055888223553,1,static,power,500,0.1
48,Oracle,,24.592375091212592,0.001996007984031936,1,static,power,500,0.1
48,DM,,-0.04471085029750192,0.5708582834331337,0,static,power,500,0.1
48,cDM,,-0.0878408209183563,0.9301397205588823,0,static,power,500,0.1
48,SS,1.0910197109708573,-3.931099497835357,0.9800399201596807,0,static,power,500,0.1
49,RV,0.7499674545412087,15.089147752174956,0.013972055888223553,1,static,power,500,0.1
49,Oracle,,17.111225905605714,0.001996007984031936,1,static,power,500,0.1
49,DM,,-0.11094454229759718,0.7005988023952096,0,static,power,500,0.1
49,cDM,,0.06147821831050292,0.16367265469061876,0,static,power,500,0.1
49,SS,1.0601264167134543,-2.155113975279107,0.6926147704590818,0,static,power,500,0.1
50,RV,1.002967138837793,22.99304872166269,0.001996007984031936,1,static,power,500,0.1
50,Oracle,,28.883988847962673,0.001996007984031936,1,static,power,500,0.1
50,DM,,-0.07925182438373216,0.6487025948103793,0,static,power,500,0.1
50,cDM,,0.04315082340443727,0.25748502994011974,0,static,power,500,0.1
50,SS,1.0908268975092834,11.184599981080552,0.03792415169660679,1,static,power,500,0.1
51,RV,0.8793194667034554,18.497612528376404,0.001996007984031936,1,static,power,500,0.1
51,Oracle,,23.457592318145597,0.001996007984031936,1,static,power,500,0.1
51,DM,,-0.11461667263082248,0.7325349301397206,0,static,power,500,0.1
51,cDM,,-0.08892597435167177,0.936127744510978,0,static,power,500,0.1
51,SS,1.1422375249814238,-6.748406821538987,0.9820359281437125,0,static,power,500,0.1
52,RV,0.8676338421287245,20.939737305288425,0.003992015968063872,1,static,power,500,0.1
52,Oracle,,32.26107589812651,0.001996007984031936,1,static,power,500,0.1
52,DM,,-0.14379043547300097,0.7265469061876247,0,static,power,500,0.1
52,cDM,,0.03499909106040373,0.27944111776447106,0,static,power,500,0.1
52,SS,0.8414454315902854,15.94675358659946,0.001996007984031936,1,static,power,500,0.1
53,RV,0.8809991082745944,28.021876493782976,0.001996007984031936,1,static,power,500,0.1
53,Oracle,,39.30142939402266,0.001996007984031936,1,static,power,500,0.1
53,DM,,0.09221641535767756,0.3393213572854291,0,static,power,500,0.1
53,cDM,,0.0917389163402633,0.07984031936127745,1,static,power,500,0.1
53,SS,0.7945988203118302,10.931644784060463,0.05189620758483034,1,static,power,500,0.1
54,RV,0.8997529097696985,6.953490299254756,0.09780439121756487,1,static,power,500,0.1
54,Oracle,,28.459326062637167,0.001996007984031936,1,static,power,500,0.1
54,DM,,0.34551862959785845,0.04590818363273453,1,static,power,500,0.1
54,cDM,,0.13963788480113162,0.031936127744510975,1,static,power,500,0.1
54,SS,0.8518996529371895,0.690336810382312,0.22355289421157684,0,static,power,500,0.1
55,RV,0.8456338313754413,24.145704532424812,0.027944111776447105,1,static,power,500,0.1
55,Oracle,,22.58814287489763,0.001996007984031936,1,static,power,500,0.1
55,DM,,0.008443516489859602,0.49101796407185627,0,static,power,500,0.1
55,cDM,,0.013953746597375992,0.40119760479041916,0,static,power,500,0.1
55,SS,0.7729102596530872,6.036237331148516,0.04590818363273453,1,static,power,500,0.1
56,RV,0.8582614293417364,13.038148594887787,0.06187624750499002,1,static,power,500,0.1
56,Oracle,,20.46664268825831,0.001996007984031936,1,static,power,500,0.1
56,DM,,-0.17361232751381023,0.8043912175648703,0,static,power,500,0.1
56,cDM,,0.03857944080042152,0.29141716566866266,0,static,power,500,0.1
56,SS,1.5868242922330487,-7.521802860212572,0.9860279441117764,0,static,power,500,0.1
57,RV,0.7118005111130937,11.571720019755853,0.00998003992015968,1,static,power,500,0.1
57,Oracle,,18.228814580357202,0.001996007984031936,1,static,power,500,0.1
57,DM,,0.2142345959973408,0.19560878243512975,0,static,power,500,0.1
57,cDM,,0.008469043395402073,0.4291417165668663,0,static,power,500,0.1
57,SS,0.7725419597379802,6.70556931846226,0.003992015968063872,1,static,power,500,0.1
58,RV,0.8267087490882922,34.87815452453155,0.001996007984031936,1,static,power,500,0.1
58,Oracle,,35.947519480000736,0.001996007984031936,1,static,power,500,0.1
58,DM,,0.035379163652217084,0.40119760479041916,0,static,power,500,0.1
58,cDM,,0.08462156440882158,0.09181636726546906,1,static,power,500,0.1
58,SS,0.9510964384273572,4.651960683722583,0.00998003992015968,1,static,power,500,0.1
59,RV,1.070088172371479,50.934469077048924,0.001996007984031936,1,static,power,500,0.1
59,Oracle,,46.93572503536776,0.001996007984031936,1,static,power,500,0.1
59,DM,,-0.07584174878748019,0.6187624750499002,0,static,power,500,0.1
59,cDM,,0.1891845083589176,0.001996007984031936,1,static,power,500,0.1
59,SS,0.8186179011008933,16.855176638821064,0.001996007984031936,1,static,power,500,0.1
60,RV,0.7474387945869112,21.90025976250683,0.003992015968063872,1,static,power,500,0.1
60,Oracle,,23.36055074221762,0.001996007984031936,1,static,power,500,0.1
60,DM,,0.3231295973155984,0.07584830339321358,1,static,power,500,0.1
60,cDM,,-0.050541420833621925,0.7944111776447106,0,static,power,500,0.1
60,SS,1.2908529203149115,4.1139524054877,0.14770459081836326,0,static,power,500,0.1
61,RV,0.7756325742477455,21.481593676767044,0.001996007984031936,1,static,power,500,0.1
61,Oracle,,28.654578305180188,0.001996007984031936,1,static,power,500,0.1
61,DM,,-0.0048688317129859954,0.5269461077844312,0,static,power,500,0.1
61,cDM,,-0.03688157634939781,0.7445109780439122,0,static,power,500,0.1
61,SS,1.3288022016858019,0.17281410614182496,0.7724550898203593,0,static,power,500,0.1
62,RV,0.9624668369105929,15.188087820024663,0.07984031936127745,1,static,power,500,0.1
62,Oracle,,18.779067881422932,0.001996007984031936,1,static,power,500,0.1
62,DM,,-0.49524008221589466,0.9860279441117764,0,static,power,500,0.1
62,cDM,,0.022779960048000758,0.3772455089820359,0,static,power,500,0.1
62,SS,1.1401330780921883,-0.6440593216900747,0.2874251497005988,0,static,power,500,0.1
63,RV,0.9193534722652033,18.752220978019636,0.00998003992015968,1,static,power,500,0.1
63,Oracle,,31.888608030624546,0.001996007984031936,1,static,power,500,0.1
63,DM,,0.2793465335828024,0.09580838323353294,1,static,power,500,0.1
63,cDM,,0.076695698043643,0.10778443113772455,0,static,power,500,0.1
63,SS,0.8602446511264782,19.106130572022554,0.011976047904191617,1,static,power,500,0.1
64,RV,0.7906485769554654,19.213866476488455,0.003992015968063872,1,static,power,500,0.1
64,Oracle,,31.244560724473395,0.001996007984031936,1,static,power,500,0.1
64,DM,,0.10550520358168375,0.3193612774451098,0,static,power,500,0.1
64,cDM,,0.1065044802997511,0.031936127744510975,1,static,power,500,0.1
64,SS,1.0409986824488295,2.762321286558953,0.08982035928143713,1,static,power,500,0.1
65,RV,1.2131800190921531,28.020429811203464,0.07385229540918163,1,static,power,500,0.1
65,Oracle,,33.754560757468894,0.001996007984031936,1,static,power,500,0.1
65,DM,,0.18298672265776056,0.24151696606786427,0,static,power,500,0.1
65,cDM,,0.029947819041692234,0.3313373253493014,0,static,power,500,0.1
65,SS,1.479026408460812,-5.942925909723861,1.0,0,static,power,500,0.1
66,RV,0.9062228379216898,33.019771515701045,0.001996007984031936,1,static,power,500,0.1
66,Oracle,,33.29161417298461,0.001996007984031936,1,static,power,500,0.1
66,DM,,0.02231565879371161,0.4291417165668663,0,static,power,500,0.1
66,cDM,,0.02763139068191026,0.3253493013972056,0,static,power,500,0.1
66,SS,1.4614926520735645,-6.067496554434101,0.998003992015968,0,static,power,500,0.1
67,RV,1.1490769669484537,36.26354534775447,0.00998003992015968,1,static,power,500,0.1
67,Oracle,,29.02192439145229,0.001996007984031936,1,static,power,500,0.1
67,DM,,-0.015890505299603622,0.5349301397205589,0,static,power,500,0.1
67,cDM,,0.04335975440115705,0.2315369261477046,0,static,power,500,0.1
67,SS,1.1227975609741014,-4.514044407765771,0.8243512974051896,0,static,power,500,0.1
68,RV,0.902791572932584,41.32734227798251,0.001996007984031936,1,static,power,500,0.1
68,Oracle,,21.203731244503082,0.001996007984031936,1,static,power,500,0.1
68,DM,,-0.056851184611339624,0.5968063872255489,0,static,power,500,0.1
