rep,setting,assumption,method,stage,target,time,time_s,time_t,rmse,relative_rmse,bias,mae,corr,mean_est,mean_true,sd_est,sd_true
50,power,static,RV,moment,diagonal_t1,1.0,,,0.052461100453190725,0.4973487455873189,-0.05217380002506526,0.05217380002506526,-0.7160156735227863,0.053294602447025004,0.10546840247209027,0.00416752689037338,0.0016633195330273643
50,power,static,RV,moment,diagonal_t2,2.0,,,0.04722203319372547,0.37840360436342924,-0.04712310473787132,0.04712310473787132,0.746657125428516,0.07760929747207496,0.12473240220994626,0.004531265442514399,0.003881078910397184
50,power,static,RV,moment,diagonal_t3,3.0,,,0.044873636860055785,0.34193321031096835,-0.04401144567832605,0.04401144567832605,0.7464076988399915,0.08714228977757221,0.13115373545589823,0.011645093480320804,0.004620332036187123
50,power,static,RV,moment,diagonal_t4,4.0,,,0.058487413068837535,0.46867630252908266,-0.05809412319890921,0.05809412319890921,0.06295632217051081,0.06663827901103705,0.12473240220994626,0.005798369873526068,0.0038810789103971843
50,power,static,RV,moment,diagonal_t5,5.0,,,0.056881886259647886,0.5392592708404728,-0.05601870889603335,0.05601870889603335,-0.7349249335816691,0.0494496935760569,0.10546840247209024,0.008584771379692203,0.001663319533027366
51,power,static,RV,mu,all_periods,,,,0.5739025614643748,0.08591696910248423,0.0028509043771590427,0.15126239137282846,0.9871418584938386,5.635725066575778,5.632874162198619,3.54790024642115,3.5902067613069644
51,power,static,RV,mu,period_1,1.0,,,0.49680931367795184,0.07470131324522943,-0.0014207893820857684,0.15390630792799956,0.9901160045505596,5.627751210666989,5.629172000049073,3.5162110025443534,3.5416152027599055
51,power,static,RV,mu,period_2,2.0,,,0.1846864135030937,0.0323636227726617,0.009490722847184276,0.11389642850114211,0.9869712464711132,5.601130586078823,5.59163986323164,1.1446770794998653,1.139695117500541
51,power,static,RV,mu,period_3,3.0,,,0.16956366309097184,0.030087663082461993,-0.004024298668994215,0.10414921291813733,0.9744970864535477,5.581762064018311,5.585786362687305,0.7525866063589455,0.7480563649215106
51,power,static,RV,mu,period_4,4.0,,,0.5112623703068666,0.07840877145193935,0.004835746591839408,0.15988819044373015,0.9879063620737463,5.630527805144625,5.625692058552786,3.2659805992223467,3.2966911424964764
51,power,static,RV,mu,period_5,5.0,,,1.0371842351551797,0.12221539259394838,0.005373140497851512,0.22447181707313313,0.9861714020592616,5.737453666970142,5.7320805264722905,6.165743377865628,6.258146227572376
51,power,static,RV,moment,diagonal_all,,,,0.0521360389146072,0.43868580240732524,-0.051345691759531305,0.051345691759531305,0.7333012663341061,0.06696537720446295,0.11831106896399428,0.013070123784729297,0.011262997541133852
51,power,static,RV,moment,diagonal_t1,1.0,,,0.04906957950074258,0.46519599475361806,-0.04813994348161638,0.04813994348161638,0.03065269070721605,0.057328458990473875,0.10546840247209027,0.00941076307927627,0.0016633195330273643
51,power,static,RV,moment,diagonal_t2,2.0,,,0.04994970438655709,0.400261210677232,-0.04967488129670121,0.04967488129670121,0.6426456893286162,0.07505752091324507,0.12473240220994626,0.006799642371605188,0.003881078910397184
51,power,static,RV,moment,diagonal_t3,3.0,,,0.05045766919329604,0.38448305105910496,-0.05027070519315995,0.05027070519315995,0.4121872374373554,0.08088303026273831,0.13115373545589823,0.002958961040059698,0.004620332036187123
51,power,static,RV,moment,diagonal_t4,4.0,,,0.05732205663515545,0.45933796944494076,-0.056468111160945765,0.056468111160945765,-0.22009141567002283,0.06826429104900048,0.12473240220994626,0.008247317037553553,0.0038810789103971843
51,power,static,RV,moment,diagonal_t5,5.0,,,0.053443817327535455,0.5066652296202633,-0.052174817665233214,0.052174817665233214,-0.8740568206538916,0.05329358480685704,0.10546840247209024,0.010095061080262887,0.001663319533027366
52,power,static,RV,mu,all_periods,,,,0.5718830102956138,0.08561462907646207,-0.004089296201736318,0.14344087080514964,0.9872325843951972,5.628784865996883,5.632874162198619,3.5454551579059648,3.5902067613069644
52,power,static,RV,mu,period_1,1.0,,,0.4961250201533927,0.07459842140419017,-0.019303952387222167,0.15092857669109452,0.9901555846814174,5.609868047661851,5.629172000049073,3.501728644613857,3.5416152027599055
52,power,static,RV,mu,period_2,2.0,,,0.18334708342516418,0.03212892454777325,-0.001864426144665158,0.10661938791618593,0.9870197980463313,5.589775437086973,5.59163986323164,1.1143457775333037,1.139695117500541
52,power,static,RV,mu,period_3,3.0,,,0.17668455663495994,0.03135120647313907,0.0011887356666235877,0.10832957145055302,0.9717294137770697,5.586975098353929,5.585786362687305,0.731753683760197,0.7480563649215106
52,power,static,RV,mu,period_4,4.0,,,0.5035873234169425,0.07723170262695662,0.012832218602901164,0.14142591342876704,0.9882716966498338,5.638524277155686,5.625692058552786,3.2581987615305477,3.2966911424964764
52,power,static,RV,mu,period_5,5.0,,,1.0347352675161,0.12192682135335753,-0.01329905674631901,0.20990090453914786,0.986239250186804,5.718781469725971,5.7320805264722905,6.1793403260231665,6.258146227572376
