rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment
10,power,static,RV,,4,0.5327213651578763,0.4041669585136261,0.004166958513626073,-0.4,0.28635439780104766,0.4,0.3460206738353879,0.023093963471002548,0.346,-0.012661671932566837
10,power,static,RV,,5,0.5650148641868201,0.4160192505670173,0.016019250567017217,-0.4,0.3473854438217634,0.4,0.38103891161909115,0.023093963471002548,0.486,-0.04339276644782153
11,power,static,RV,,1,0.5047738423647694,0.3946402080308168,-0.0053597919691832805,-0.4,0.30010571646634787,0.4,0.31298785735005796,0.023093963471002548,0.508,0.014857142451169373
11,power,static,RV,,2,0.4984284766387486,0.4017609559825339,0.0017609559825338766,-0.4,0.20929611800385156,0.4,0.2939872857631674,0.023093963471002548,0.308,-0.006222745931925614
11,power,static,RV,,3,0.4692526544628314,0.39439241023444926,-0.005607589765550783,-0.4,0.21290596510118434,0.4,0.2515922920995999,0.023093963471002548,0.464,0.018176240461057168
11,power,static,RV,,4,0.6861140141349,0.34731579350807046,-0.05268420649192954,-0.4,0.5533709602510828,0.4,0.59185241488964,0.023093963471002548,0.478,0.08998463284579089
11,power,static,RV,,5,0.55354373417194,0.3680355238348145,-0.031964476165185496,-0.4,0.40816316839954336,0.4,0.4119650676427753,0.023093963471002548,0.54,0.07507890974281484
12,power,static,RV,,1,0.5102489778875509,0.3756195609443289,-0.024380439055671076,-0.4,0.33859421962381137,0.4,0.34347295654536575,0.023093963471002548,0.536,0.06794293541970302
12,power,static,RV,,2,0.6297255286429705,0.38243546620325447,-0.017564533796745514,-0.4,0.44396065024392756,0.4,0.49905393061062836,0.023093963471002548,0.422,0.0333430995482702
12,power,static,RV,,3,0.5776115072123521,0.384686719760859,-0.015313280239141015,-0.4,0.41389631925133347,0.4,0.42939211048297465,0.023093963471002548,0.524,0.03343075655294723
12,power,static,RV,,4,0.4584076186853433,0.40193027328881453,0.0019302732888145373,-0.4,0.11928559502578877,0.4,0.21922708278137332,0.023093963471002548,0.172,-0.008765763079556663
12,power,static,RV,,5,0.5608473554463429,0.3915256705128253,-0.008474329487174708,-0.4,0.39242513084006575,0.4,0.39947644578371416,0.023093963471002548,0.52,0.01760486462436249
