rep,setting,assumption,hypothesis,method,lag,source_t,pvalue,reject,stat,statistic
9,power,static,H0,RV,,4,0.016611295681063124,1,0.947724809892458,likelihood
9,power,static,H0,TWFE,,4,0.36187351619572605,0,-0.23447542668216198,likelihood
9,power,static,H0,RV,,5,0.009966777408637873,1,2.3011214445881665,likelihood
9,power,static,H0,TWFE,,5,0.36187351619572605,0,-0.23447542668216198,likelihood
10,power,static,H0,RV,,1,0.2857142857142857,0,1.028913993328699,likelihood
10,power,static,H0,TWFE,,1,0.8174272824052111,0,0.04801604878133085,likelihood
10,power,static,H0,RV,,2,0.4850498338870432,0,0.20472515340099706,likelihood
10,power,static,H0,TWFE,,2,0.8174272824052111,0,0.04801604878133085,likelihood
10,power,static,H0,RV,,3,0.53156146179402,0,0.09042587383663622,likelihood
10,power,static,H0,TWFE,,3,0.8174272824052111,0,0.04801604878133085,likelihood
10,power,static,H0,RV,,4,0.009966777408637873,1,2.153897964373993,likelihood
10,power,static,H0,TWFE,,4,0.8174272824052111,0,0.04801604878133085,likelihood
10,power,static,H0,RV,,5,0.5249169435215947,0,-0.5001319072735417,likelihood
10,power,static,H0,TWFE,,5,0.8174272824052111,0,0.04801604878133085,likelihood
11,power,static,H0,RV,,1,0.09634551495016612,1,0.729323990559353,likelihood
11,power,static,H0,TWFE,,1,0.10915999252000676,0,-0.43435668308536274,likelihood
11,power,static,H0,RV,,2,0.37209302325581395,0,-0.7214677381050019,likelihood
11,power,static,H0,TWFE,,2,0.10915999252000676,0,-0.43435668308536274,likelihood
11,power,static,H0,RV,,3,0.10631229235880399,0,0.14809594825126265,likelihood
11,power,static,H0,TWFE,,3,0.10915999252000676,0,-0.43435668308536274,likelihood
11,power,static,H0,RV,,4,0.12624584717607973,0,4.788565190692897,likelihood
11,power,static,H0,TWFE,,4,0.10915999252000676,0,-0.43435668308536274,likelihood
11,power,static,H0,RV,,5,0.18272425249169436,0,1.181442186538152,likelihood
11,power,static,H0,TWFE,,5,0.10915999252000676,0,-0.43435668308536274,likelihood
12,power,static,H0,RV,,1,0.132890365448505,0,0.47447343553307925,likelihood
12,power,static,H0,TWFE,,1,0.014813011365181705,1,-0.8375704980875381,likelihood
12,power,static,H0,RV,,2,0.26245847176079734,0,2.3594357006404367,likelihood
12,power,static,H0,TWFE,,2,0.014813011365181705,1,-0.8375704980875381,likelihood
12,power,static,H0,RV,,3,0.2558139534883721,0,1.07660447467047,likelihood
12,power,static,H0,TWFE,,3,0.014813011365181705,1,-0.8375704980875381,likelihood
12,power,static,H0,RV,,4,0.2159468438538206,0,0.46707457031810407,likelihood
12,power,static,H0,TWFE,,4,0.014813011365181705,1,-0.8375704980875381,likelihood
12,power,static,H0,RV,,5,0.24916943521594684,0,0.5590264857798461,likelihood
12,power,static,H0,TWFE,,5,0.014813011365181705,1,-0.8375704980875381,likelihood
13,power,static,H0,RV,,1,0.7009966777408638,0,-0.9230688538782614,likelihood
13,power,static,H0,TWFE,,1,0.09627480707956132,1,-0.5590794427815869,likelihood
13,power,static,H0,RV,,2,0.5049833887043189,0,2.1266974196172326,likelihood
13,power,static,H0,TWFE,,2,0.09627480707956132,1,-0.5590794427815869,likelihood
13,power,static,H0,RV,,3,0.6578073089700996,0,0.0019178336564213527,likelihood
13,power,static,H0,TWFE,,3,0.09627480707956132,1,-0.5590794427815869,likelihood
13,power,static,H0,RV,,4,0.7275747508305648,0,-1.2174813675413145,likelihood
13,power,static,H0,TWFE,,4,0.09627480707956132,1,-0.5590794427815869,likelihood
13,power,static,H0,RV,,5,0.6345514950166113,0,1.077490011277924,likelihood
13,power,static,H0,TWFE,,5,0.09627480707956132,1,-0.5590794427815869,likelihood
14,power,static,H0,RV,,1,0.3920265780730897,0,0.40244832181082374,likelihood
14,power,static,H0,TWFE,,1,0.48555237265901896,0,-0.1880159413872788,likelihood
14,power,static,H0,RV,,2,0.33222591362126247,0,3.0687951829498497,likelihood
14,power,static,H0,TWFE,,2,0.48555237265901896,0,-0.1880159413872788,likelihood
14,power,static,H0,RV,,3,0.3023255813953488,0,1.1357771848379172,likelihood
14,power,static,H0,TWFE,,3,0.48555237265901896,0,-0.1880159413872788,likelihood
14,power,static,H0,RV,,4,0.023255813953488372,1,3.4937210491401913,likelihood
14,power,static,H0,TWFE,,4,0.48555237265901896,0,-0.1880159413872788,likelihood
14,power,static,H0,RV,,5,0.2558139534883721,0,3.2437224992296287,likelihood
14,power,static,H0,TWFE,,5,0.48555237265901896,0,-0.1880159413872788,likelihood
15,power,static,H0,RV,,1,0.19601328903654486,0,1.0496591971059615,likelihood
15,power,static,H0,TWFE,,1,0.049124957718266506,1,-0.6281484011423516,likelihood
15,power,static,H0,RV,,2,0.47840531561461797,0,0.35792209634935473,likelihood
15,power,static,H0,TWFE,,2,0.049124957718266506,1,-0.6281484011423516,likelihood
15,power,static,H0,RV,,3,0.3289036544850498,0,1.076089683578216,likelihood
15,power,static,H0,TWFE,,3,0.049124957718266506,1,-0.6281484011423516,likelihood
15,power,static,H0,RV,,4,0.006644518272425249,1,2.9947711241825417,likelihood
15,power,static,H0,TWFE,,4,0.049124957718266506,1,-0.6281484011423516,likelihood
15,power,static,H0,RV,,5,0.26245847176079734,0,1.4037654456337665,likelihood
15,power,static,H0,TWFE,,5,0.049124957718266506,1,-0.6281484011423516,likelihood
