rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
7,DM,,3,-0.01646141335812334,0.5349301397205589,0,lagged,power,500,0.1
7,cDM,,3,0.08173256625318487,0.23552894211576847,0,lagged,power,500,0.1
7,SS,0.902455232884313,3,0.9893483660828946,0.2275449101796407,0,lagged,power,500,0.1
7,RC,0.9633082256600692,4,0.9015186243231288,0.6207584830339321,0,lagged,power,500,0.1
7,Oracle,,4,4.154453767209819,0.00998003992015968,1,lagged,power,500,0.1
7,DM,,4,0.20366868294198845,0.313373253493014,0,lagged,power,500,0.1
7,cDM,,4,0.20219745843766204,0.05588822355289421,1,lagged,power,500,0.1
7,SS,0.8451330803421717,4,0.6255004453144374,0.21157684630738524,0,lagged,power,500,0.1
7,RC,1.123325183513108,5,1.8345469178628058,0.10578842315369262,0,lagged,power,500,0.1
7,Oracle,,5,9.293873192192722,0.001996007984031936,1,lagged,power,500,0.1
7,DM,,5,0.6284661728079122,0.09381237524950099,1,lagged,power,500,0.1
7,cDM,,5,0.34740141424108717,0.007984031936127744,1,lagged,power,500,0.1
7,SS,1.2009648833765605,5,7.224508431279546,0.17964071856287425,0,lagged,power,500,0.1
8,RC,0.26716802060503386,1,-0.2776907511966503,0.6447105788423154,0,lagged,power,500,0.1
8,Oracle,,1,0.24885580067126742,0.08782435129740519,1,lagged,power,500,0.1
8,DM,,1,-0.09326400761841837,0.5848303393213573,0,lagged,power,500,0.1
8,cDM,,1,0.030736112901972343,0.37325349301397204,0,lagged,power,500,0.1
8,SS,0.8355755395388882,1,0.37302574654417747,0.3313373253493014,0,lagged,power,500,0.1
8,RC,0.30111818454762784,2,0.670049204744914,0.4311377245508982,0,lagged,power,500,0.1
8,Oracle,,2,0.2088025570601689,0.15169660678642716,0,lagged,power,500,0.1
8,DM,,2,0.1093395820278941,0.4291417165668663,0,lagged,power,500,0.1
8,cDM,,2,-0.08903530906234734,0.812375249500998,0,lagged,power,500,0.1
8,SS,0.7720801155711021,2,-1.2081252251601957,0.8682634730538922,0,lagged,power,500,0.1
8,RC,0.6838033479187021,3,1.5385701340696778,0.2634730538922156,0,lagged,power,500,0.1
8,Oracle,,3,1.7323076812801947,0.05588822355289421,1,lagged,power,500,0.1
8,DM,,3,0.05193497399088208,0.43313373253493015,0,lagged,power,500,0.1
8,cDM,,3,-0.12822717929182362,0.8902195608782435,0,lagged,power,500,0.1
8,SS,0.7819233447318742,3,-1.7739548307885324,0.6726546906187625,0,lagged,power,500,0.1
8,RC,0.7188212344256661,4,2.5801848806165433,0.11377245508982035,0,lagged,power,500,0.1
8,Oracle,,4,6.808154455627796,0.001996007984031936,1,lagged,power,500,0.1
8,DM,,4,-0.6200865211884253,0.9041916167664671,0,lagged,power,500,0.1
8,cDM,,4,0.10430666131949057,0.18363273453093812,0,lagged,power,500,0.1
8,SS,0.8857826190128387,4,1.2140594796096593,0.7984031936127745,0,lagged,power,500,0.1
8,RC,0.685058574700693,5,1.2644699210888513,0.3992015968063872,0,lagged,power,500,0.1
8,Oracle,,5,2.148481577435178,0.003992015968063872,1,lagged,power,500,0.1
8,DM,,5,0.20040254001903904,0.2954091816367265,0,lagged,power,500,0.1
8,cDM,,5,-0.0034313521762091978,0.5429141716566867,0,lagged,power,500,0.1
8,SS,0.8895236102321452,5,-1.599069876916916,0.8403193612774451,0,lagged,power,500,0.1
9,RC,0.36850608212825714,1,-0.3349991759058179,0.14570858283433133,0,lagged,power,500,0.1
9,Oracle,,1,0.10675392845712531,0.017964071856287425,1,lagged,power,500,0.1
9,DM,,1,0.27008388201822425,0.28542914171656686,0,lagged,power,500,0.1
9,cDM,,1,0.16763950440603015,0.10379241516966067,0,lagged,power,500,0.1
9,SS,0.812601506494942,1,0.4671134583528479,0.06187624750499002,1,lagged,power,500,0.1
9,RC,0.7328271986418282,2,-0.7376792809583205,0.7305389221556886,0,lagged,power,500,0.1
9,Oracle,,2,1.1006507611488623,0.003992015968063872,1,lagged,power,500,0.1
9,DM,,2,0.7922386224520303,0.027944111776447105,1,lagged,power,500,0.1
9,cDM,,2,0.20219582774431435,0.041916167664670656,1,lagged,power,500,0.1
9,SS,0.5241268693788886,2,0.1901777926886954,0.16167664670658682,0,lagged,power,500,0.1
9,RC,0.5575381132062636,3,5.414128488438286,0.07784431137724551,1,lagged,power,500,0.1
9,Oracle,,3,4.428972880720362,0.00998003992015968,1,lagged,power,500,0.1
9,DM,,3,0.37831092885737944,0.19560878243512975,0,lagged,power,500,0.1
9,cDM,,3,0.19791313195110102,0.06986027944111776,1,lagged,power,500,0.1
9,SS,0.7810339948606495,3,1.2650870294904188,0.14570858283433133,0,lagged,power,500,0.1
9,RC,0.3103055531524087,4,6.406631493551579,0.011976047904191617,1,lagged,power,500,0.1
9,Oracle,,4,6.427556015924362,0.011976047904191617,1,lagged,power,500,0.1
