rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance,mu_config,moment_config
3,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05140346071717751,0.013028693845560862,0.0026423157737024113,0.20280741914913455,0.022215705758882945,0.08475949577443599,0.0004935375823652649,0.0058227998863829835,0.7114886534574231,0.09585115596337508,0.506216103998657,5.281272812109676,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
4,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05514982625972203,0.015117328065955483,0.0030415033364775256,0.20119318197023522,0.02044922107925288,0.07168319906562658,0.00041817064274816024,0.005833593480744651,0.39277024449413306,0.02926918530315252,0.15426846495998106,5.270678475063846,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
5,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05955517314085146,0.017555192135896437,0.003546818647836795,0.20203815602703343,0.020535183754436307,0.07199064283990042,0.0004216937718284648,0.005857619201515774,0.5604574350947548,0.0596738482832672,0.31411253655299126,5.263822354173021,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
6,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04335409725970414,0.00925694339262496,0.001879577749203886,0.20304518127456112,0.01664937889851065,0.046766952823537725,0.0002772018177061717,0.00592730124522153,0.2887230854923612,0.015911053655434812,0.08336102009622931,5.2391891763720695,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
7,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05340489348938522,0.014070746274230642,0.00285208264861258,0.20269590489567163,0.02186239547646799,0.08181580963725475,0.00047796433596948795,0.005841955706221446,0.8190744629584741,0.12723477250773693,0.6708829758707128,5.272795813973869,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
8,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05484012024312912,0.014965941201024647,0.0030074387882808606,0.20095219858774774,0.022025280049881815,0.08320084916020828,0.0004851129612757219,0.005830625121885564,0.27876488072385924,0.014742847087835251,0.07770985872498747,5.2710211441525505,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
9,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05816829012625728,0.016669338276268535,0.0033835499762124403,0.20298046149975038,0.023689864403746402,0.09504938457005992,0.0005612096754678908,0.005904400938590286,0.606146013467122,0.07000798293700261,0.36741298964208446,5.248158484621743,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
10,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04433924614901519,0.009760389269920278,0.001965968749062958,0.2014231906837683,0.020884790950931216,0.0749218812979533,0.00043617449306409834,0.005821723714191006,0.5464332186458486,0.05658818576153989,0.2985892624396618,5.276530046358151,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
11,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05670922866970171,0.016038034038766188,0.0032159366163125183,0.20051937840630257,0.021554316147577354,0.07970547617066163,0.0004645885445897139,0.005828815872010584,0.7047084746554334,0.09423129417083939,0.4966140342511876,5.2701603922666775,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
12,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05734779940295477,0.016173864654338465,0.0032887700963615397,0.20333854441395754,0.02081550533416326,0.07354489791510571,0.0004332852623165792,0.005891438761893839,0.6182614276960502,0.07274327078734467,0.38224719297675835,5.254743000135469,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
13,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.043930295576777405,0.009528531865302909,0.0019298708694630285,0.20253601464989995,0.0161249364955225,0.04407116343961895,0.00026001357698463343,0.005899857337346518,0.24253966893970974,0.011208352051388528,0.05882549100938401,5.248362180245445,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
14,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05211989110128279,0.013421440899838991,0.0027164830484095767,0.20239876393913597,0.020113892195364542,0.06908256380520841,0.0004045686592467466,0.005856306381267288,0.42163735417458686,0.033761470134520584,0.177778058435346,5.265708445959249,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
