N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance,moment_config
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009760485116113946,0.01624516101809467,9.526706970188187e-05,0.005864335207005253,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.011382169663441046,0.022234934436523655,0.00012955378624735766,0.005826587283952113,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.012818656617420435,0.028125500061429623,0.00016431795747533673,0.0058423123896978076,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.012902687753191526,0.028588647451778765,0.0001664793512563586,0.005823267838646924,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.011122068128287553,0.020974591891700905,0.0001237003994502698,0.0058976308139380195,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.012156578578487535,0.02532527002470287,0.00014778240273494202,0.005835373229615777,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1600,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.010735496012782052,0.019676299699288448,0.00011525087464045932,0.005857344948076143,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.007599204010878953,0.00989929954375014,5.7747901598958775e-05,0.005833534114584657,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009629735129943199,0.015877215513493265,9.273179867286216e-05,0.005840558037021918,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009235238706888433,0.014554636230553804,8.528963397321034e-05,0.005859963287448309,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009888685732010372,0.016667425612140224,9.778610550646549e-05,0.005866899170993751,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.007307801446776507,0.009140513670130058,5.340396198550881e-05,0.0058425558904884765,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.010865126172638724,0.02021608666091504,0.00011805096674735901,0.005839456900211749,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009423434211265649,0.015176701991218214,8.880111233405183e-05,0.00585114686876209,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.00827306511543649,0.01171574664219995,6.844360640425218e-05,0.005842018310443766,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009109294811659785,0.014199791331735023,8.297925196573188e-05,0.005843695166159384,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009542874082166843,0.015500462684569245,9.106644574809166e-05,0.005875079189652098,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
