rep,setting,assumption,hypothesis,method,lag,source_t,pvalue,reject,stat,statistic
16,power,lagged,H0l,RC,0,,0.009966777408637873,1,5.4931505228008275,likelihood
16,power,lagged,H0l,TWFE,0,,0.2856652056343354,0,-0.41891528247459076,likelihood
16,power,lagged,H0l,RC,1,,0.0033222591362126247,1,3.6614565580376914,likelihood
16,power,lagged,H0l,TWFE,1,,0.19977426917357838,0,-0.9816351340260688,likelihood
16,power,lagged,H0l,RC,2,,0.0033222591362126247,1,8.262424699250921,likelihood
16,power,lagged,H0l,TWFE,2,,0.24171252039623953,0,-1.3507868298717898,likelihood
16,power,lagged,H0l,RC,3,,0.04318936877076412,1,-9.216909735338024,likelihood
16,power,lagged,H0l,TWFE,3,,0.5542977399430657,0,-0.9738629428561072,likelihood
16,power,lagged,H0l,RC,4,,0.0033222591362126247,1,44.1748640080825,likelihood
16,power,lagged,H0l,TWFE,4,,0.4183757378711175,0,-1.6080304195086756,likelihood
17,power,lagged,H0l,RC,0,,0.013289036544850499,1,6.525704438862567,likelihood
17,power,lagged,H0l,TWFE,0,,0.09521839113518756,1,-0.3367190111905571,likelihood
17,power,lagged,H0l,RC,1,,0.0033222591362126247,1,18.79418054507206,likelihood
17,power,lagged,H0l,TWFE,1,,0.21550971709341024,0,-0.48621965044900584,likelihood
17,power,lagged,H0l,RC,2,,0.0033222591362126247,1,28.84041490710486,likelihood
17,power,lagged,H0l,TWFE,2,,0.31001674934599166,0,-0.6347230513333199,likelihood
17,power,lagged,H0l,RC,3,,0.12956810631229235,0,-7924.105874630439,likelihood
17,power,lagged,H0l,TWFE,3,,0.18220577702941293,0,-1.0660482310010657,likelihood
17,power,lagged,H0l,RC,4,,0.8770764119601329,0,355.8871201440367,likelihood
17,power,lagged,H0l,TWFE,4,,0.5444806105432094,0,-0.8765913507702302,likelihood
18,power,lagged,H0l,RC,0,,0.029900332225913623,1,3.7087809459632846,likelihood
18,power,lagged,H0l,TWFE,0,,0.17378896638584765,0,-0.46209874195389544,likelihood
18,power,lagged,H0l,RC,1,,0.0033222591362126247,1,21.624737761757423,likelihood
18,power,lagged,H0l,TWFE,1,,0.4412316715706722,0,-0.5255624936170101,likelihood
18,power,lagged,H0l,RC,2,,0.0033222591362126247,1,25.097435451475434,likelihood
18,power,lagged,H0l,TWFE,2,,0.6617140280034635,0,-0.4504175086672709,likelihood
18,power,lagged,H0l,RC,3,,0.0033222591362126247,1,40.900267660074135,likelihood
18,power,lagged,H0l,TWFE,3,,0.6804107567205986,0,-0.599216667023158,likelihood
18,power,lagged,H0l,RC,4,,0.0033222591362126247,1,68.10078738217989,likelihood
18,power,lagged,H0l,TWFE,4,,0.7114337843416003,0,-0.702777764454355,likelihood
19,power,lagged,H0l,RC,0,,0.0033222591362126247,1,5.505745902332032,likelihood
19,power,lagged,H0l,TWFE,0,,0.08050436449462822,1,-0.8740367042232384,likelihood
19,power,lagged,H0l,RC,1,,0.0033222591362126247,1,13.323298685387808,likelihood
19,power,lagged,H0l,TWFE,1,,0.14530825610797785,0,-1.4630081553553684,likelihood
19,power,lagged,H0l,RC,2,,0.0033222591362126247,1,15.453618828545236,likelihood
19,power,lagged,H0l,TWFE,2,,0.09698941284448952,1,-2.4755296288329385,likelihood
19,power,lagged,H0l,RC,3,,0.0033222591362126247,1,18.73252438095957,likelihood
19,power,lagged,H0l,TWFE,3,,0.058009353151926846,1,-3.7466420040725206,likelihood
19,power,lagged,H0l,RC,4,,0.0033222591362126247,1,56.91565775049782,likelihood
19,power,lagged,H0l,TWFE,4,,0.06729805309858793,1,-4.551494951473627,likelihood
20,power,lagged,H0l,RC,0,,0.013289036544850499,1,6.362478244862064,likelihood
20,power,lagged,H0l,TWFE,0,,0.1542462854977284,0,-0.44810984656297925,likelihood
20,power,lagged,H0l,RC,1,,0.0033222591362126247,1,19.34950082199625,likelihood
20,power,lagged,H0l,TWFE,1,,0.07708384924461274,1,-1.0812915797082816,likelihood
20,power,lagged,H0l,RC,2,,0.0033222591362126247,1,16.2299187702136,likelihood
20,power,lagged,H0l,TWFE,2,,0.15202537428507726,0,-1.3432971052094587,likelihood
20,power,lagged,H0l,RC,3,,0.0033222591362126247,1,36.46198904415766,likelihood
20,power,lagged,H0l,TWFE,3,,0.10308513741661818,0,-1.9659587346892515,likelihood
20,power,lagged,H0l,RC,4,,0.0033222591362126247,1,45.722345871294124,likelihood
20,power,lagged,H0l,TWFE,4,,0.10561893460784794,0,-2.541804657743654,likelihood
21,power,lagged,H0l,RC,0,,0.11960132890365449,0,3.4819478261609946,likelihood
21,power,lagged,H0l,TWFE,0,,0.1961302620699758,0,-0.3015966646772298,likelihood
21,power,lagged,H0l,RC,1,,0.006644518272425249,1,4.2691664809492735,likelihood
21,power,lagged,H0l,TWFE,1,,0.6357928265346763,0,-0.23223023298075235,likelihood
21,power,lagged,H0l,RC,2,,0.0033222591362126247,1,19.89400462584499,likelihood
21,power,lagged,H0l,TWFE,2,,0.4533569487909518,0,-0.5048412502849495,likelihood
21,power,lagged,H0l,RC,3,,0.0033222591362126247,1,30.50819159449705,likelihood
21,power,lagged,H0l,TWFE,3,,0.37551879419501344,0,-0.7984754303891758,likelihood
21,power,lagged,H0l,RC,4,,0.0033222591362126247,1,60.621723757556666,likelihood
21,power,lagged,H0l,TWFE,4,,0.3624086530899967,0,-1.2100728524695135,likelihood
22,power,lagged,H0l,RC,0,,0.026578073089700997,1,6.831574864301606,likelihood
22,power,lagged,H0l,TWFE,0,,0.5364898662744253,0,-0.15591153330983662,likelihood
22,power,lagged,H0l,RC,1,,0.0033222591362126247,1,7.708294161827395,likelihood
22,power,lagged,H0l,TWFE,1,,0.8833884206581903,0,0.07399904942571034,likelihood
22,power,lagged,H0l,RC,2,,0.0033222591362126247,1,31.575074135632438,likelihood
22,power,lagged,H0l,TWFE,2,,0.8793302940019538,0,0.1160762913697404,likelihood
22,power,lagged,H0l,RC,3,,0.006644518272425249,1,-227.07858203121276,likelihood
22,power,lagged,H0l,TWFE,3,,0.9206920358500161,0,0.09866354947700184,likelihood
22,power,lagged,H0l,RC,4,,0.0033222591362126247,1,68.30921708454662,likelihood
22,power,lagged,H0l,TWFE,4,,0.5694935120144567,0,0.8336293685274885,likelihood
23,power,lagged,H0l,RC,0,,0.05647840531561462,1,3.293148408339961,likelihood
23,power,lagged,H0l,TWFE,0,,0.27594766011723854,0,-0.30746706650366973,likelihood
23,power,lagged,H0l,RC,1,,0.0033222591362126247,1,9.048108500082284,likelihood
23,power,lagged,H0l,TWFE,1,,0.34210101599581766,0,-0.5293017159255149,likelihood
23,power,lagged,H0l,RC,2,,0.009966777408637873,1,7.777741053087546,likelihood
23,power,lagged,H0l,TWFE,2,,0.7393898495146562,0,-0.29815022961316356,likelihood
23,power,lagged,H0l,RC,3,,0.0033222591362126247,1,21.674318455138827,likelihood
23,power,lagged,H0l,TWFE,3,,0.5371627824578347,0,-0.7433570287254141,likelihood
23,power,lagged,H0l,RC,4,,0.0033222591362126247,1,58.81820367001999,likelihood
23,power,lagged,H0l,TWFE,4,,0.03170476930314911,1,-2.8746399441105344,likelihood
24,power,lagged,H0l,RC,0,,0.1760797342192691,0,7.044375873997902,likelihood
24,power,lagged,H0l,TWFE,0,,0.013209366165983935,1,-1.344500557843207,likelihood
24,power,lagged,H0l,RC,1,,0.0033222591362126247,1,14.49020568821472,likelihood
24,power,lagged,H0l,TWFE,1,,0.02308683859843158,1,-2.456335304467326,likelihood
24,power,lagged,H0l,RC,2,,0.0033222591362126247,1,7.059423576480405,likelihood
24,power,lagged,H0l,TWFE,2,,0.02838942277650425,1,-3.558820645587904,likelihood
24,power,lagged,H0l,RC,3,,0.0033222591362126247,1,17.127182568380974,likelihood
24,power,lagged,H0l,TWFE,3,,0.047915528740026095,1,-4.384643119401098,likelihood
24,power,lagged,H0l,RC,4,,0.0033222591362126247,1,56.47360186487631,likelihood
24,power,lagged,H0l,TWFE,4,,0.02940060938126795,1,-5.98158089069103,likelihood
25,power,lagged,H0l,RC,0,,0.2857142857142857,0,4.230702044323552,likelihood
25,power,lagged,H0l,TWFE,0,,0.046135996000011795,1,-0.5944013512253412,likelihood
25,power,lagged,H0l,RC,1,,0.0033222591362126247,1,-0.1538812630687061,likelihood
25,power,lagged,H0l,TWFE,1,,0.1574098131741337,0,-0.8613711732925219,likelihood
25,power,lagged,H0l,RC,2,,0.0033222591362126247,1,26.960578455078814,likelihood
25,power,lagged,H0l,TWFE,2,,0.12326975745920456,0,-1.351703158119021,likelihood
25,power,lagged,H0l,RC,3,,0.0033222591362126247,1,45.95274957878604,likelihood
25,power,lagged,H0l,TWFE,3,,0.1311779945741557,0,-1.7852497450121616,likelihood
25,power,lagged,H0l,RC,4,,0.0033222591362126247,1,88.44292022331246,likelihood
25,power,lagged,H0l,TWFE,4,,0.6842783249556101,0,-0.782236193749198,likelihood
26,power,lagged,H0l,RC,0,,0.09966777408637874,1,8.066397277464382,likelihood
26,power,lagged,H0l,TWFE,0,,0.02734276527749418,1,-0.8929615978655648,likelihood
26,power,lagged,H0l,RC,1,,0.013289036544850499,1,15.703167219357558,likelihood
26,power,lagged,H0l,TWFE,1,,0.04319919016105019,1,-1.6349500992511694,likelihood
26,power,lagged,H0l,RC,2,,0.0033222591362126247,1,17.362745740297253,likelihood
26,power,lagged,H0l,TWFE,2,,0.08611759032190591,1,-2.126303012321198,likelihood
26,power,lagged,H0l,RC,3,,0.9401993355481728,0,-23169.079090456085,likelihood
26,power,lagged,H0l,TWFE,3,,0.05343167136580865,1,-3.1482346659975255,likelihood
26,power,lagged,H0l,RC,4,,0.0033222591362126247,1,1201.154571757263,likelihood
26,power,lagged,H0l,TWFE,4,,0.08201390109880521,1,-3.655435599161472,likelihood
27,power,lagged,H0l,RC,0,,0.0033222591362126247,1,5.6459663012079435,likelihood
27,power,lagged,H0l,TWFE,0,,0.016575283254200664,1,-1.0069824639066534,likelihood
27,power,lagged,H0l,RC,1,,0.0033222591362126247,1,5.103550654156143,likelihood
27,power,lagged,H0l,TWFE,1,,0.02245876682604691,1,-1.888453817383601,likelihood
27,power,lagged,H0l,RC,2,,0.0033222591362126247,1,20.29948655248612,likelihood
27,power,lagged,H0l,TWFE,2,,0.017934742698932814,1,-2.9035220659460794,likelihood
27,power,lagged,H0l,RC,3,,0.0033222591362126247,1,18.84346950324014,likelihood
27,power,lagged,H0l,TWFE,3,,0.022110248475185352,1,-3.782959862237184,likelihood
27,power,lagged,H0l,RC,4,,0.29900332225913623,0,-6689.4658546133,likelihood
27,power,lagged,H0l,TWFE,4,,0.10537443050983909,0,-3.6073837460442033,likelihood
28,power,lagged,H0l,RC,0,,0.0033222591362126247,1,6.845192354933596,likelihood
28,power,lagged,H0l,TWFE,0,,0.6966070837652995,0,-0.10401055307012147,likelihood
