rep,setting,assumption,method,stage,target,time,time_s,time_t,rmse,relative_rmse,bias,mae,corr,mean_est,mean_true,sd_est,sd_true
81,power,lagged,RC,moment,offdiag_all,,,,0.2036961730904496,0.5416033118985291,-0.10579144963741133,0.115599883478433,0.9184392725306243,0.12167831627618864,0.2274697659136,0.14755408308187015,0.2995122023700268
81,power,lagged,RC,moment,offdiag_t2_s1,,1.0,2.0,0.03518164837131557,0.4903969628573785,-0.020231725815744016,0.024010667464147453,0.8237650940868134,0.03630156764985598,0.0565332934656,0.022191410473361504,0.04416764852654527
81,power,lagged,RC,moment,offdiag_t3_s1,,1.0,3.0,0.07532805472681078,0.8328658465865342,-0.03367738079171703,0.05269665912951072,-0.4146515532074727,0.03605589792828296,0.06973327871999999,0.01846193034568825,0.05759739552632087
81,power,lagged,RC,moment,offdiag_t3_s2,,2.0,3.0,0.1393799916684849,0.5269216283770592,-0.10187668871788265,0.10187747810982187,0.935118776436772,0.10025646712211735,0.20213315584,0.08611523323813698,0.1706214961545104
81,power,lagged,RC,moment,offdiag_t4_s1,,1.0,4.0,0.09133174728352227,0.9043235811809414,-0.0515145158950468,0.058834203322747504,-0.17026956182709954,0.0252854202073532,0.0767999361024,0.027701367606812972,0.06558709962499108
81,power,lagged,RC,moment,offdiag_t4_s2,,2.0,4.0,0.17856161265905415,0.5851650430883475,-0.10968016904285019,0.12631456766723773,0.9389243846589572,0.11968628067234979,0.2293664497152,0.0662588342506188,0.20126099863498476
81,power,lagged,RC,moment,offdiag_t4_s3,,3.0,4.0,0.2392064435920427,0.45360976071950165,-0.1334588038787219,0.15322381448234898,0.921849142780308,0.25907412258527807,0.39253292646399995,0.18045793771853494,0.35214355098631855
81,power,lagged,RC,moment,offdiag_t5_s1,,1.0,5.0,0.09044282104751683,0.8749654703752325,-0.06208124798080307,0.06292103238378803,0.286304480681531,0.015652017631996935,0.07773326561280001,0.027508362940364392,0.06813471056435913
81,power,lagged,RC,moment,offdiag_t5_s2,,2.0,5.0,0.18891113966965936,0.6008347674164222,-0.12299464608779781,0.12799426372697426,0.8665032008872533,0.11033845404660218,0.2333331001344,0.08517402589614213,0.21074182735199112
81,power,lagged,RC,moment,offdiag_t5_s3,,3.0,5.0,0.29285453920556487,0.5346146323042738,-0.17997240188244956,0.19026855452151978,0.9107394241189662,0.22189381968555047,0.401866221568,0.16657519962790848,0.3722543546362211
81,power,lagged,RC,moment,offdiag_t5_s4,,4.0,5.0,0.4018779654217758,0.5467899521470508,-0.24242691628110044,0.2578575939762337,0.9350754477751559,0.29223911523249957,0.5346660315135999,0.20551131368149547,0.5043046979633511
81,power,lagged,RC,moment_raw,offdiag_raw_all,,,,4.433381599529542,11.787821640365305,-0.06779220022188172,0.4975293299135599,0.12421810695113593,0.15967756569171826,0.2274697659136,4.460094535048748,0.2995122023700268
82,power,lagged,RC,mu,all_periods,,,,0.6201611433923041,0.09839699950371736,-0.008701171804961855,0.217760325256735,0.9834598957892261,5.284172990393657,5.292874162198619,3.3851677508005698,3.421810886459691
82,power,lagged,RC,mu,period_1,1.0,,,0.5109479038430578,0.07692660881626476,-0.023502853658103413,0.18385543183048977,0.9896656470960179,5.58566914639097,5.609172000049074,3.5021668279221188,3.557188457299274
82,power,lagged,RC,mu,period_2,2.0,,,0.23910682486997423,0.04251570580187734,0.01826691215771346,0.16864167710325234,0.9806759439860269,5.509906775389353,5.491639863231639,1.2126241417092563,1.2127941152120933
82,power,lagged,RC,mu,period_3,3.0,,,0.2559299176114729,0.047707798613496964,0.0015637733202372298,0.15051005117088037,0.9217408896095217,5.327350136007542,5.325786362687306,0.6498376313042092,0.6435696549739367
82,power,lagged,RC,mu,period_4,4.0,,,0.5809577957010005,0.09749887124526789,-0.02626863803140902,0.243866017421099,0.9818771908987552,5.099423420521377,5.125692058552786,3.055677987495188,3.0384732577238793
82,power,lagged,RC,mu,period_5,5.0,,,1.0962423553269842,0.1432196098690317,-0.01356505281324755,0.34192844875795364,0.9824160404228763,4.898515473659043,4.912080526472289,5.785769847813698,5.870212841137995
82,power,lagged,RC,moment,offdiag_all,,,,0.21162655875923583,0.5626892413869542,-0.11512177433132408,0.12140780687592838,0.935809524309013,0.1123479915822759,0.2274697659136,0.13750798321432842,0.2995122023700268
82,power,lagged,RC,moment,offdiag_t2_s1,,1.0,2.0,0.032321932962655876,0.4505353925226989,-0.024239403867741594,0.024394056948088105,0.9197268786216632,0.03229388959785841,0.0565332934656,0.028110640622563233,0.04416764852654527
82,power,lagged,RC,moment,offdiag_t3_s1,,1.0,3.0,0.06591736062175481,0.7288163561118426,-0.05171247480882298,0.05171247480882298,0.8604616851232938,0.01802080391117701,0.06973327871999999,0.02110535419654203,0.05759739552632087
