rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment,n_time_comparisons,treated_count_min,control_count_min,eligible_count_min,treated_count_mean,control_count_mean,eligible_count_mean
22,power,lagged,RC,2,,1.7410846040060453,1.200251988977582,-0.19974801102241788,-1.4,0.9334173878734666,1.4,1.068431092498126,0.8082887214850891,0.576,0.21722908625108908,3,50,50,150,83.33333333333333,150.0,233.33333333333334
22,power,lagged,RC,3,,3.9449161196703857,1.578447331983143,-0.22155266801685713,-1.8,2.504276150849699,1.8026311999999998,3.5224467980112895,1.096963264872621,0.582,0.08990150463906178,2,50,50,150,75.0,100.0,175.0
22,power,lagged,RC,4,,2.8525628473982305,1.8947794903357271,-0.3052205096642731,-2.2,1.6448707470326398,2.2083328,1.7990314325880996,1.3856378082601528,0.586,0.20577777102092948,1,50,50,100,50.0,50.0,100.0
23,power,lagged,RC,0,,0.6700657330560544,0.569238754837147,-0.03076124516285298,-0.6,0.24216691758507528,0.6,0.2691317316216592,0.2309396347100255,0.548,0.1083040612283165,5,50,50,150,90.0,250.0,340.0
23,power,lagged,RC,1,,1.3077080960605887,0.8290654049724661,-0.170934595027534,-1.0,0.8232995272829967,1.0,0.9347882060399589,0.5196141780975573,0.58,0.21614410405688286,4,50,50,150,87.5,200.0,287.5
23,power,lagged,RC,2,,1.775437243593385,1.2030321656197964,-0.19696783438020338,-1.4,1.077902186822983,1.4,1.1136620928102938,0.8082887214850891,0.58,0.20243038794431237,3,50,50,150,83.33333333333333,150.0,233.33333333333334
23,power,lagged,RC,3,,7.001859572120694,1.8347300692961956,0.034730069296195355,-1.8,1.6115322278679245,1.8026311999999998,6.755599456454393,1.096963264872621,0.582,0.03709927805354604,2,50,50,150,75.0,100.0,175.0
23,power,lagged,RC,4,,3.1808938987759943,1.9385903506857263,-0.2614096493142742,-2.2,1.7198417448130636,2.2083328,2.2720152537242937,1.3856378082601528,0.582,0.15743601710570249,1,50,50,100,50.0,50.0,100.0
24,power,lagged,RC,0,,0.6986695530359719,0.5757783649870555,-0.024221635012944474,-0.6,0.2512035228937634,0.6,0.3243901715640846,0.2309396347100255,0.552,0.07413813466556468,5,50,50,150,90.0,250.0,340.0
24,power,lagged,RC,1,,1.2390219218759808,0.934943289268967,-0.06505671073103296,-1.0,0.6060826248603215,1.0,0.6517418650235993,0.5196141780975573,0.542,0.11097258949314477,4,50,50,150,87.5,200.0,287.5
24,power,lagged,RC,2,,1.995600643952975,1.2857312008107864,-0.1142687991892132,-1.4,1.246917591419996,1.4,1.35081976387587,0.8082887214850891,0.542,0.10693099593077834,3,50,50,150,83.33333333333333,150.0,233.33333333333334
24,power,lagged,RC,3,,2.3597564887498965,1.6920096420037096,-0.10799035799629056,-1.8,1.2012400403339443,1.8026311999999998,1.2933587459314975,1.096963264872621,0.544,0.10222233598039028,2,50,50,150,75.0,100.0,175.0
24,power,lagged,RC,4,,2.927108832068937,2.0596193954476734,-0.14038060455232643,-2.2,1.5449537514115177,2.2083328,1.641083540921823,1.3856378082601528,0.54,0.10565203286538427,1,50,50,100,50.0,50.0,100.0
25,power,lagged,RC,0,,0.633136177689964,0.5621081138542708,-0.037891886145729074,-0.6,0.17280491058241965,0.6,0.21100486622644396,0.2309396347100255,0.588,0.2119704215618185,5,50,50,150,90.0,250.0,340.0
25,power,lagged,RC,1,,1.4835869664266603,0.7780315706358026,-0.2219684293641974,-1.0,1.1542365426708323,1.0,1.1909017405399203,0.5196141780975573,0.59,0.19648744142643632,4,50,50,150,87.5,200.0,287.5
25,power,lagged,RC,2,,1.7680242654044618,1.164649467085791,-0.23535053291420885,-1.4,1.1208086683877592,1.4,1.166156449969782,0.8082887214850891,0.59,0.23469593288698617,3,50,50,150,83.33333333333333,150.0,233.33333333333334
25,power,lagged,RC,3,,2.270768797481813,1.5073849814763454,-0.2926150185236548,-1.8,1.3314473721786753,1.8026311999999998,1.4343702077703588,1.096963264872621,0.596,0.23170219440963735,2,50,50,150,75.0,100.0,175.0
25,power,lagged,RC,4,,2.8524101257685524,1.821525965844231,-0.37847403415576947,-2.2,1.7846835709898754,2.2083328,1.8766355152182468,1.3856378082601528,0.596,0.2299103187237446,1,50,50,100,50.0,50.0,100.0
26,power,lagged,RC,0,,0.6760751689880597,0.5412798195125621,-0.05872018048743787,-0.6,0.311551851622661,0.6,0.3485053288437325,0.2309396347100255,0.564,0.178595732144492,5,50,50,150,90.0,250.0,340.0
26,power,lagged,RC,1,,1.207187061470503,0.9038655022478282,-0.09613449775217174,-1.0,0.5535995314109508,1.0,0.6510147238348026,0.5196141780975573,0.564,0.16569332972772066,4,50,50,150,87.5,200.0,287.5
26,power,lagged,RC,2,,2.028111800025249,1.1476312847941361,-0.25236871520586385,-1.4,1.4039395103076764,1.4,1.4761725027760322,0.8082887214850891,0.584,0.15342348319836416,3,50,50,150,83.33333333333333,150.0,233.33333333333334
26,power,lagged,RC,3,,26.568483400775968,2.1530157425466583,0.3530157425466583,-1.8,5.892743483259874,1.8026311999999998,26.491652090740246,1.096963264872621,0.578,0.004398325653714352,2,50,50,150,75.0,100.0,175.0
26,power,lagged,RC,4,,6.611791446548256,2.0048043940768565,-0.1951956059231434,-2.2,2.7777385202433766,2.2083328,6.208716903076052,1.3856378082601528,0.578,0.050477067284354214,1,50,50,100,50.0,50.0,100.0
27,power,lagged,RC,0,,0.6678422744502198,0.5560076933519039,-0.043992306648096106,-0.6,0.23367879621459967,0.6,0.3115080065988037,0.2309396347100255,0.562,0.16388004015952748,5,50,50,150,90.0,250.0,340.0
27,power,lagged,RC,1,,1.4929613835414277,0.8902940671840956,-0.10970593281590439,-1.0,1.0021800399681569,1.0,1.1385323705642127,0.5196141780975573,0.552,0.13551425763697644,4,50,50,150,87.5,200.0,287.5
