rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
5,RV,0.5510504269369376,1,4,0.00817680237934772,1,static,power,500,0.1
5,Oracle,,1,4,6.8329561628364565e-06,1,static,power,500,0.1
5,DM,,1,4,0.08353857766011731,1,static,power,500,0.1
5,cDM,,1,4,0.06658892296052622,1,static,power,500,0.1
5,SS,0.6559891798517138,1,4,0.013290985917774757,1,static,power,500,0.1
5,RV,0.5901142148603035,2,3,0.032809576730625574,1,static,power,500,0.1
5,Oracle,,2,3,6.464505338356081e-05,1,static,power,500,0.1
5,DM,,2,3,0.04356782320535937,1,static,power,500,0.1
5,cDM,,2,3,0.15363199000073913,0,static,power,500,0.1
5,SS,0.781635477838036,2,3,0.01605316266962705,1,static,power,500,0.1
5,RV,0.6793942547469207,3,2,0.04424497256111392,1,static,power,500,0.1
5,Oracle,,3,2,0.005121989414221163,1,static,power,500,0.1
5,DM,,3,2,0.03435461923615965,1,static,power,500,0.1
5,cDM,,3,2,0.10825529964739287,0,static,power,500,0.1
5,SS,1.0246227900779048,3,2,0.06822471267274352,1,static,power,500,0.1
5,RV,1.1736683966440153,4,1,0.08183632734530935,1,static,power,500,0.1
5,Oracle,,4,1,0.09580838323353293,1,static,power,500,0.1
5,DM,,4,1,0.023952095808383228,1,static,power,500,0.1
5,cDM,,4,1,0.13373253493013973,0,static,power,500,0.1
5,SS,1.967789145008206,4,1,0.02994011976047903,1,static,power,500,0.1
6,RV,1.0228534291992442,0,5,0.12462894350963641,0,static,power,500,0.1
6,Oracle,,0,5,1.0625533854837841e-06,1,static,power,500,0.1
6,DM,,0,5,0.47033307239498523,0,static,power,500,0.1
6,cDM,,0,5,0.2996154306434849,0,static,power,500,0.1
6,SS,0.48547483971377864,0,5,0.03131068733110112,1,static,power,500,0.1
6,RV,1.0443227905337154,1,4,0.45204000958764734,0,static,power,500,0.1
6,Oracle,,1,4,1.569623337444346e-05,1,static,power,500,0.1
6,DM,,1,4,0.5917481571725984,0,static,power,500,0.1
6,cDM,,1,4,0.12978433673958192,0,static,power,500,0.1
6,SS,0.5757694640394899,1,4,0.10505419197460136,0,static,power,500,0.1
6,RV,1.0420610599709408,2,3,0.573159484846752,0,static,power,500,0.1
6,Oracle,,2,3,0.00020624398258255495,1,static,power,500,0.1
6,DM,,2,3,0.543911514456004,0,static,power,500,0.1
6,cDM,,2,3,0.0716670470392097,1,static,power,500,0.1
6,SS,0.75558396831513,2,3,0.11595363869743672,0,static,power,500,0.1
6,RV,0.9814299941372018,3,2,0.17241886798137138,0,static,power,500,0.1
6,Oracle,,3,2,0.002528827746234081,1,static,power,500,0.1
6,DM,,3,2,0.27539284067966935,0,static,power,500,0.1
6,cDM,,3,2,0.28286186364391375,0,static,power,500,0.1
6,SS,1.10000514596955,3,2,0.29598449070984256,0,static,power,500,0.1
6,RV,1.1155352996553547,4,1,0.37924151696606784,0,static,power,500,0.1
6,Oracle,,4,1,0.023952095808383228,1,static,power,500,0.1
6,DM,,4,1,0.15568862275449102,0,static,power,500,0.1
6,cDM,,4,1,0.3133732534930139,0,static,power,500,0.1
6,SS,1.5590577236007632,4,1,0.7964071856287425,0,static,power,500,0.1
7,RV,1.0271026699101802,0,5,0.01969885368912092,1,static,power,500,0.1
7,Oracle,,0,5,5.7284008471698746e-08,1,static,power,500,0.1
7,DM,,0,5,0.22584223790090832,0,static,power,500,0.1
7,cDM,,0,5,0.3661089735282823,0,static,power,500,0.1
7,SS,0.7156106135524467,0,5,0.6963261938544746,0,static,power,500,0.1
7,RV,1.031243558666414,1,4,0.1441928989807256,0,static,power,500,0.1
7,Oracle,,1,4,4.95684596541109e-07,1,static,power,500,0.1
7,DM,,1,4,0.25258415253827693,0,static,power,500,0.1
7,cDM,,1,4,0.5216732281412338,0,static,power,500,0.1
7,SS,0.7449464234655466,1,4,0.6645428473926549,0,static,power,500,0.1
7,RV,1.0064116106091154,2,3,0.7061282493556951,0,static,power,500,0.1
7,Oracle,,2,3,1.2004886528200042e-05,1,static,power,500,0.1
7,DM,,2,3,0.5722673863569712,0,static,power,500,0.1
7,cDM,,2,3,0.931919926083751,0,static,power,500,0.1
7,SS,0.8583301671139548,2,3,0.3399926465088357,0,static,power,500,0.1
7,RV,0.9384088801794869,3,2,0.6648159094844052,0,static,power,500,0.1
7,Oracle,,3,2,0.0016223552436971456,1,static,power,500,0.1
7,DM,,3,2,0.7215176275285244,0,static,power,500,0.1
7,cDM,,3,2,0.8907689445321191,0,static,power,500,0.1
7,SS,1.2376447369165393,3,2,0.18836184856859983,0,static,power,500,0.1
7,RV,0.9682584405921856,4,1,0.6906187624750499,0,static,power,500,0.1
7,Oracle,,4,1,0.005988023952095805,1,static,power,500,0.1
7,DM,,4,1,0.7465069860279441,0,static,power,500,0.1
7,cDM,,4,1,0.93812375249501,0,static,power,500,0.1
7,SS,1.4675033789862364,4,1,0.03992015968063873,1,static,power,500,0.1
8,RV,0.7492438511677231,0,5,0.00029621119737948255,1,static,power,500,0.1
8,Oracle,,0,5,3.3825530872650496e-07,1,static,power,500,0.1
8,DM,,0,5,0.5827598454212363,0,static,power,500,0.1
8,cDM,,0,5,0.14705477164764186,0,static,power,500,0.1
8,SS,0.8950894126683278,0,5,0.9749289436597324,0,static,power,500,0.1
8,RV,0.7578287770842494,1,4,0.003556273384797056,1,static,power,500,0.1
8,Oracle,,1,4,1.5633117328599284e-05,1,static,power,500,0.1
8,DM,,1,4,0.8331832033950093,0,static,power,500,0.1
8,cDM,,1,4,0.6804386310255088,0,static,power,500,0.1
8,SS,0.9922175372014366,1,4,0.8872667597103167,0,static,power,500,0.1
8,RV,0.6996094283572,2,3,0.015398253881260471,1,static,power,500,0.1
8,Oracle,,2,3,0.00017585753379488519,1,static,power,500,0.1
8,DM,,2,3,0.9354676021046727,0,static,power,500,0.1
8,cDM,,2,3,0.5918843370437417,0,static,power,500,0.1
8,SS,1.049510933827078,2,3,0.9894515228257585,0,static,power,500,0.1
8,RV,0.7722537603027368,3,2,0.08556804382267023,1,static,power,500,0.1
8,Oracle,,3,2,0.004406231743766917,1,static,power,500,0.1
8,DM,,3,2,0.7257768543558625,0,static,power,500,0.1
8,cDM,,3,2,0.8515188579925109,0,static,power,500,0.1
8,SS,1.5139284507448396,3,2,0.3828290757217959,0,static,power,500,0.1
8,RV,0.6744397932317072,4,1,0.06986027944111778,1,static,power,500,0.1
8,Oracle,,4,1,0.1277445109780439,0,static,power,500,0.1
8,DM,,4,1,0.2994011976047905,0,static,power,500,0.1
8,cDM,,4,1,0.08183632734530935,1,static,power,500,0.1
8,SS,1.9817309065783852,4,1,0.475049900199601,0,static,power,500,0.1
9,RV,1.0414613995240243,0,5,0.3761545623807263,0,static,power,500,0.1
9,Oracle,,0,5,2.258833398373039e-07,1,static,power,500,0.1
9,DM,,0,5,0.5533303702024361,0,static,power,500,0.1
9,cDM,,0,5,0.2279893745411965,0,static,power,500,0.1
9,SS,0.9357559796007087,0,5,0.9541760381740625,0,static,power,500,0.1
9,RV,1.049146036711786,1,4,0.5252854085502766,0,static,power,500,0.1
9,Oracle,,1,4,2.972486743649788e-06,1,static,power,500,0.1
9,DM,,1,4,0.6867808394736888,0,static,power,500,0.1
9,cDM,,1,4,0.14289351064964592,0,static,power,500,0.1
9,SS,1.0345574772576962,1,4,0.9573847701701694,0,static,power,500,0.1
9,RV,1.0848241117110435,2,3,0.25648383608901937,0,static,power,500,0.1
9,Oracle,,2,3,7.631962945385917e-06,1,static,power,500,0.1
9,DM,,2,3,0.8982818756916506,0,static,power,500,0.1
