rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
4,cDM,,4,0.020286915139101674,0.48502994011976047,0,static,power,500,0.1
4,SS,1.230630286511974,4,1.3269600141235096,0.0998003992015968,1,static,power,500,0.1
4,RV,1.0100795382292438,5,5.502203939752286,0.12574850299401197,0,static,power,500,0.1
4,Oracle,,5,4.775865051654799,0.001996007984031936,1,static,power,500,0.1
4,DM,,5,-0.15701824751389332,0.6227544910179641,0,static,power,500,0.1
4,cDM,,5,0.29317676734197273,0.041916167664670656,1,static,power,500,0.1
4,SS,1.2323874431693287,5,0.22528850763996927,0.47904191616766467,0,static,power,500,0.1
5,RV,0.4299757423619884,1,-0.6352511383830829,0.9341317365269461,0,static,power,500,0.1
5,Oracle,,1,0.00552502601953449,0.8602794411177644,0,static,power,500,0.1
5,DM,,1,0.4679954907090309,0.21756487025948104,0,static,power,500,0.1
5,cDM,,1,0.13327885951230875,0.24151696606786427,0,static,power,500,0.1
5,SS,0.8055167802449389,1,-0.1738920066896214,0.5369261477045908,0,static,power,500,0.1
5,RV,0.8728647791147569,2,0.47564813745148105,0.9960079840319361,0,static,power,500,0.1
5,Oracle,,2,2.3784615042394073,0.011976047904191617,1,static,power,500,0.1
5,DM,,2,0.6459764689577828,0.14770459081836326,0,static,power,500,0.1
5,cDM,,2,-0.0045611440978795955,0.5349301397205589,0,static,power,500,0.1
5,SS,0.7796769312262007,2,0.8078435194806385,0.31736526946107785,0,static,power,500,0.1
5,RV,0.8511159528393164,3,1.7324219629687647,0.0718562874251497,1,static,power,500,0.1
5,Oracle,,3,0.6681774861875729,0.011976047904191617,1,static,power,500,0.1
5,DM,,3,0.48486445418869584,0.25149700598802394,0,static,power,500,0.1
5,cDM,,3,-0.13994987497217246,0.7844311377245509,0,static,power,500,0.1
5,SS,0.8378276092389259,3,0.4872870785082119,0.06986027944111776,1,static,power,500,0.1
5,RV,0.40829482122274874,4,5.639860095640765,0.14570858283433133,0,static,power,500,0.1
5,Oracle,,4,6.642716476954561,0.1596806387225549,0,static,power,500,0.1
5,DM,,4,0.49409342072555246,0.22355289421157684,0,static,power,500,0.1
5,cDM,,4,0.4254971892220842,0.013972055888223553,1,static,power,500,0.1
5,SS,1.1444344658973182,4,2.741170462541349,0.03792415169660679,1,static,power,500,0.1
