rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
4,Oracle,,0,5,1.253181716393973e-07,1,lagged,power,500,0.1
4,DM,,0,5,0.2993347241904292,0,lagged,power,500,0.1
4,cDM,,0,5,0.30465603185851875,0,lagged,power,500,0.1
4,SS,0.8374854791919507,0,5,0.42007499364026124,0,lagged,power,500,0.1
4,RC,0.7251948238582213,1,4,0.004580848195480798,1,lagged,power,500,0.1
4,Oracle,,1,4,3.417184056041032e-06,1,lagged,power,500,0.1
4,DM,,1,4,0.6177015094676703,0,lagged,power,500,0.1
4,cDM,,1,4,0.8127191910394682,0,lagged,power,500,0.1
4,SS,0.8542940706669627,1,4,0.30144934653011524,0,lagged,power,500,0.1
4,RC,0.7161183429058416,2,3,0.4767617117656793,0,lagged,power,500,0.1
4,Oracle,,2,3,0.0006539183541859893,1,lagged,power,500,0.1
4,DM,,2,3,0.608149409527774,0,lagged,power,500,0.1
4,cDM,,2,3,0.7387633177878362,0,lagged,power,500,0.1
4,SS,0.8768151867313727,2,3,0.5298342683963746,0,lagged,power,500,0.1
4,RC,0.6269892573215003,3,2,0.027746405602430194,1,lagged,power,500,0.1
4,Oracle,,3,2,0.01118859962860086,1,lagged,power,500,0.1
4,DM,,3,2,0.4905038803093956,0,lagged,power,500,0.1
4,cDM,,3,2,0.3181296748731344,0,lagged,power,500,0.1
4,SS,0.8277734632054293,3,2,0.1484547031805185,0,lagged,power,500,0.1
4,RC,0.49456956388664963,4,1,0.5588822355289422,0,lagged,power,500,0.1
4,Oracle,,4,1,0.24950099800399195,0,lagged,power,500,0.1
4,DM,,4,1,0.5249500998003993,0,lagged,power,500,0.1
4,cDM,,4,1,0.4131736526946108,0,lagged,power,500,0.1
4,SS,1.55673945969148,4,1,0.7485029940119761,0,lagged,power,500,0.1
5,RC,0.8526913499220855,0,5,0.009801618550700783,1,lagged,power,500,0.1
5,Oracle,,0,5,6.713991553712753e-09,1,lagged,power,500,0.1
5,DM,,0,5,0.9628269882192807,0,lagged,power,500,0.1
5,cDM,,0,5,0.6964525718584413,0,lagged,power,500,0.1
5,SS,1.3132301440132828,0,5,0.999962902326821,0,lagged,power,500,0.1
5,RC,0.8475490766731266,1,4,0.1271589769848769,0,lagged,power,500,0.1
5,Oracle,,1,4,2.863958124422074e-07,1,lagged,power,500,0.1
5,DM,,1,4,0.9275509241989642,0,lagged,power,500,0.1
5,cDM,,1,4,0.3069085816102651,0,lagged,power,500,0.1
5,SS,1.231742641493574,1,4,0.9975548761073452,0,lagged,power,500,0.1
5,RC,0.7817604536298547,2,3,0.3602415037128059,0,lagged,power,500,0.1
5,Oracle,,2,3,2.2135607071971974e-05,1,lagged,power,500,0.1
5,DM,,2,3,0.970426802879977,0,lagged,power,500,0.1
5,cDM,,2,3,0.5494381022484003,0,lagged,power,500,0.1
5,SS,1.3558033814876753,2,3,0.9207311917735476,0,lagged,power,500,0.1
5,RC,0.797204012131463,3,2,0.3035001642617869,0,lagged,power,500,0.1
5,Oracle,,3,2,0.0029488823642226476,1,lagged,power,500,0.1
5,DM,,3,2,0.9338610326017913,0,lagged,power,500,0.1
5,cDM,,3,2,0.208181431482664,0,lagged,power,500,0.1
5,SS,1.8585619376962943,3,2,0.9206940587391378,0,lagged,power,500,0.1
5,RC,0.5951759431295971,4,1,0.10978043912175643,0,lagged,power,500,0.1
5,Oracle,,4,1,0.04590818363273453,1,lagged,power,500,0.1
5,DM,,4,1,0.9401197604790419,0,lagged,power,500,0.1
5,cDM,,4,1,0.5528942115768464,0,lagged,power,500,0.1
5,SS,2.5183747150492706,4,1,0.8542914171656687,0,lagged,power,500,0.1
6,RC,0.7243409460715357,0,5,0.9788289382074056,0,lagged,power,500,0.1
6,Oracle,,0,5,8.867637572419018e-08,1,lagged,power,500,0.1
6,DM,,0,5,0.442988899949863,0,lagged,power,500,0.1
6,cDM,,0,5,0.2793752368182386,0,lagged,power,500,0.1
6,SS,0.6589963663560459,0,5,0.10226455259937453,0,lagged,power,500,0.1
6,RC,0.7419242364417256,1,4,0.6667175089342195,0,lagged,power,500,0.1
6,Oracle,,1,4,1.384293675822725e-06,1,lagged,power,500,0.1
6,DM,,1,4,0.6017448549214501,0,lagged,power,500,0.1
6,cDM,,1,4,0.38884576119951736,0,lagged,power,500,0.1
6,SS,0.6480873254374233,1,4,0.14283222673313611,0,lagged,power,500,0.1
6,RC,0.771106086775915,2,3,0.8945436028836212,0,lagged,power,500,0.1
6,Oracle,,2,3,3.709114816075101e-05,1,lagged,power,500,0.1
6,DM,,2,3,0.3347850074906271,0,lagged,power,500,0.1
6,cDM,,2,3,0.026116882751114918,1,lagged,power,500,0.1
6,SS,0.7936689926812703,2,3,0.00321072887292195,1,lagged,power,500,0.1
6,RC,1.1863889807141117,3,2,0.9311675096294366,0,lagged,power,500,0.1
6,Oracle,,3,2,0.002065423428319206,1,lagged,power,500,0.1
6,DM,,3,2,0.5118773705250249,0,lagged,power,500,0.1
6,cDM,,3,2,0.26694193796005966,0,lagged,power,500,0.1
6,SS,0.8290309329448626,3,2,0.05682071000220429,1,lagged,power,500,0.1
6,RC,0.6096401315448402,4,1,0.3413173652694611,0,lagged,power,500,0.1
6,Oracle,,4,1,0.06986027944111778,1,lagged,power,500,0.1
6,DM,,4,1,0.29141716566866266,0,lagged,power,500,0.1
6,cDM,,4,1,0.05988023952095806,1,lagged,power,500,0.1
6,SS,1.6475967565692142,4,1,0.03592814371257485,1,lagged,power,500,0.1
7,RC,0.6736945288075127,0,5,1.4493554566075713e-06,1,lagged,power,500,0.1
7,Oracle,,0,5,1.7384338677539223e-08,1,lagged,power,500,0.1
7,DM,,0,5,0.03920232641753662,1,lagged,power,500,0.1
7,cDM,,0,5,0.2752621575684238,0,lagged,power,500,0.1
7,SS,0.4302945272566269,0,5,0.0003685952347576673,1,lagged,power,500,0.1
7,RC,0.4966831980994113,1,4,0.0008304691356134972,1,lagged,power,500,0.1
7,Oracle,,1,4,1.8832265298655447e-06,1,lagged,power,500,0.1
7,DM,,1,4,0.010885987455594255,1,lagged,power,500,0.1
7,cDM,,1,4,0.13475200409568347,0,lagged,power,500,0.1
7,SS,0.5931599592706345,1,4,0.036230698502058935,1,lagged,power,500,0.1
7,RC,0.4159377736266836,2,3,0.001850928424309137,1,lagged,power,500,0.1
7,Oracle,,2,3,0.0002251665816222386,1,lagged,power,500,0.1
7,DM,,2,3,0.03808785284876442,1,lagged,power,500,0.1
