rep,method,rmse,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
8,SS,1.19651215139462,-5.615530178079668,0.5768463073852296,0,lagged,power,500,0.1
9,RC,0.7620526875848872,23.469068763718298,0.001996007984031936,1,lagged,power,500,0.1
9,Oracle,,24.979170409030747,0.001996007984031936,1,lagged,power,500,0.1
9,DM,,0.027576938406308156,0.4311377245508982,0,lagged,power,500,0.1
9,cDM,,0.108158632001411,0.031936127744510975,1,lagged,power,500,0.1
9,SS,0.7636055710963533,10.52767117132203,0.001996007984031936,1,lagged,power,500,0.1
10,RC,0.6161477302122508,20.413016382656124,0.001996007984031936,1,lagged,power,500,0.1
10,Oracle,,16.32850109908798,0.001996007984031936,1,lagged,power,500,0.1
10,DM,,0.2755656657105304,0.11776447105788423,0,lagged,power,500,0.1
10,cDM,,-0.07366168131809046,0.93812375249501,0,lagged,power,500,0.1
10,SS,0.9412957411480244,-0.42021985018528873,0.15568862275449102,0,lagged,power,500,0.1
11,RC,0.6801788147868577,9.68688281624917,0.021956087824351298,1,lagged,power,500,0.1
11,Oracle,,15.843758980744116,0.001996007984031936,1,lagged,power,500,0.1
11,DM,,0.17787899100661522,0.23353293413173654,0,lagged,power,500,0.1
11,cDM,,0.09705826575011085,0.027944111776447105,1,lagged,power,500,0.1
11,SS,0.8932374763026053,3.0677500971723406,0.001996007984031936,1,lagged,power,500,0.1
12,RC,0.7751479962069479,-8.64115166825244,0.5449101796407185,0,lagged,power,500,0.1
12,Oracle,,9.837936045875514,0.001996007984031936,1,lagged,power,500,0.1
12,DM,,-0.06447765884266292,0.6387225548902196,0,lagged,power,500,0.1
12,cDM,,-0.0579019946267458,0.846307385229541,0,lagged,power,500,0.1
12,SS,0.9483558560279381,-1.8232218047053443,0.42115768463073855,0,lagged,power,500,0.1
13,RC,0.5248068395029568,10.74005876493346,0.001996007984031936,1,lagged,power,500,0.1
13,Oracle,,18.084990719289316,0.001996007984031936,1,lagged,power,500,0.1
13,DM,,-0.28447772516754444,0.8842315369261478,0,lagged,power,500,0.1
13,cDM,,0.004368284173731594,0.46706586826347307,0,lagged,power,500,0.1
13,SS,0.9339848322961706,1.1633553825565872,0.4530938123752495,0,lagged,power,500,0.1
14,RC,0.8403651460311166,-2.547469065034659,0.36127744510978044,0,lagged,power,500,0.1
