rep,method,rmse,t,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
0,Oracle,,1,1,-0.17019002446406753,0.015968063872255488,1,lagged,power,500,0.1
0,DM,,1,1,-0.2510071971949206,0.7624750499001997,0,lagged,power,500,0.1
0,cDM,,1,1,-0.17434788805870532,0.9141716566866267,0,lagged,power,500,0.1
0,SS,0.39762463093135864,1,1,-2.9960152341223965,0.5808383233532934,0,lagged,power,500,0.1
0,RC,0.8710337056264044,2,1,17.096420178791124,0.03592814371257485,1,lagged,power,500,0.1
0,Oracle,,2,1,24.242662922839962,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,2,1,0.37534261700075033,0.1217564870259481,0,lagged,power,500,0.1
0,cDM,,2,1,0.017645364516720725,0.4411177644710579,0,lagged,power,500,0.1
0,SS,0.4247613209805009,2,1,-2.976602594218708,0.47305389221556887,0,lagged,power,500,0.1
0,RC,0.9477868806675512,3,1,-3.9100339073582084,0.93812375249501,0,lagged,power,500,0.1
0,Oracle,,3,1,12.454818747008247,0.001996007984031936,1,lagged,power,500,0.1
0,DM,,3,1,0.13606903108760024,0.3532934131736527,0,lagged,power,500,0.1
0,cDM,,3,1,0.047384085823966526,0.3592814371257485,0,lagged,power,500,0.1
0,SS,0.4053295634288949,3,1,4.040261766053543,0.043912175648702596,1,lagged,power,500,0.1
0,RC,0.7587203531417279,4,1,6.126910186677592,0.8622754491017964,0,lagged,power,500,0.1
0,Oracle,,4,1,19.173155898797273,0.11177644710578842,0,lagged,power,500,0.1
0,DM,,4,1,0.4560193222896904,0.17365269461077845,0,lagged,power,500,0.1
0,cDM,,4,1,0.10841982987083236,0.20758483033932135,0,lagged,power,500,0.1
0,SS,0.4057714076100397,4,1,13.49359044641339,0.005988023952095809,1,lagged,power,500,0.1
0,RC,0.9771435332040513,1,2,-9.398042452141228,0.7245508982035929,0,lagged,power,500,0.1
0,Oracle,,1,2,-0.1501486985623623,0.19560878243512975,0,lagged,power,500,0.1
0,DM,,1,2,-0.1222549526909092,0.6327345309381237,0,lagged,power,500,0.1
0,cDM,,1,2,0.05291220767093323,0.2934131736526946,0,lagged,power,500,0.1
0,SS,0.6423042142348523,1,2,-2.0399035411136373,0.2694610778443114,0,lagged,power,500,0.1
0,RC,1.0654798692723273,2,2,16.247298711326977,0.500998003992016,0,lagged,power,500,0.1
0,Oracle,,2,2,17.61834672140044,0.003992015968063872,1,lagged,power,500,0.1
0,DM,,2,2,0.7712276292658358,0.011976047904191617,1,lagged,power,500,0.1
0,cDM,,2,2,0.27904284311780647,0.00998003992015968,1,lagged,power,500,0.1
0,SS,0.6713968552173805,2,2,-0.9950086002378316,0.07784431137724551,1,lagged,power,500,0.1
0,RC,0.8614417615532801,3,2,13.485782351584854,0.688622754491018,0,lagged,power,500,0.1
0,Oracle,,3,2,14.892880564676426,0.13572854291417166,0,lagged,power,500,0.1
0,DM,,3,2,0.3036979637691868,0.22355289421157684,0,lagged,power,500,0.1
0,cDM,,3,2,0.24345056391192668,0.029940119760479042,1,lagged,power,500,0.1
0,SS,0.5977544959458795,3,2,10.37288483232683,0.3013972055888224,0,lagged,power,500,0.1
0,RC,0.9150212420421995,1,3,-11.10089955117733,0.9860279441117764,0,lagged,power,500,0.1
0,Oracle,,1,3,-0.38280080820834583,0.1217564870259481,0,lagged,power,500,0.1
0,DM,,1,3,0.16124526450265655,0.3313373253493014,0,lagged,power,500,0.1
0,cDM,,1,3,0.2716649028063024,0.05189620758483034,1,lagged,power,500,0.1
0,SS,0.8633600259566825,1,3,-2.4478438827527333,0.19560878243512975,0,lagged,power,500,0.1
0,RC,0.6994181895717645,2,3,22.118371236626043,0.6087824351297405,0,lagged,power,500,0.1
0,Oracle,,2,3,14.95711295292048,0.11976047904191617,0,lagged,power,500,0.1
0,DM,,2,3,0.7555399878622151,0.05189620758483034,1,lagged,power,500,0.1
0,cDM,,2,3,0.2268379987680993,0.06387225548902195,1,lagged,power,500,0.1
0,SS,0.846134540420942,2,3,-0.082839518847867,0.4870259481037924,0,lagged,power,500,0.1
0,RC,0.7362818941227052,1,4,-7.214367094208045,0.908183632734531,0,lagged,power,500,0.1
0,Oracle,,1,4,0.317590682527708,0.47105788423153694,0,lagged,power,500,0.1
0,DM,,1,4,0.027814948401826634,0.5069860279441117,0,lagged,power,500,0.1
0,cDM,,1,4,0.17288897096023945,0.16766467065868262,0,lagged,power,500,0.1
0,SS,1.1087830720954717,1,4,-6.979806973788117,0.6586826347305389,0,lagged,power,500,0.1
1,RC,0.8839215620968448,1,0,16.76067815864339,0.001996007984031936,1,lagged,power,500,0.1
1,Oracle,,1,0,19.641505793359002,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,1,0,0.03976174885818455,0.45109780439121755,0,lagged,power,500,0.1
1,cDM,,1,0,0.01311232228298503,0.437125748502994,0,lagged,power,500,0.1
1,SS,0.4486384030522224,1,0,2.013779520316154,0.00998003992015968,1,lagged,power,500,0.1
1,RC,0.9257288626103544,2,0,-0.8153759942397794,0.2774451097804391,0,lagged,power,500,0.1
1,Oracle,,2,0,51.818025130151014,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,2,0,-0.16991094084643305,0.7145708582834331,0,lagged,power,500,0.1
1,cDM,,2,0,0.07655625872354009,0.2155688622754491,0,lagged,power,500,0.1
