rep,estimated_threshold,true_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf
28,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10
29,3.6701042987876,3.697167441221257,-0.027063142433657372,0.0,0.9668508287292817,1.0,40,10
30,3.7111056128721,3.697167441221257,0.013938171650842879,0.015151515151515152,1.0,0.9714285714285714,40,10
31,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,40,20
32,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10
33,3.71032289140759,3.697167441221257,0.013155450186332907,0.009146341463414634,1.0,0.9828571428571429,40,20
34,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10
35,3.6947099167398205,3.697167441221257,-0.002457524481436657,0.0,0.9887005649717514,1.0,40,10
36,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,60,10
37,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10
38,3.6845559316667393,3.697167441221257,-0.012611509554517841,0.0,0.9722222222222222,1.0,40,10
39,3.6701042987876,3.697167441221257,-0.027063142433657372,0.0,0.9668508287292817,1.0,40,10
40,3.6958897479893276,3.697167441221257,-0.0012776932319296108,0.0,0.9943181818181818,1.0,40,10
41,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,100,10
42,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,80,10
43,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,80,10
44,3.71032289140759,3.697167441221257,0.013155450186332907,0.009146341463414634,1.0,0.9828571428571429,60,10
45,3.6845559316667393,3.697167441221257,-0.012611509554517841,0.0,0.9722222222222222,1.0,60,20
46,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10
47,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,100,40
48,3.70051153834364,3.697167441221257,0.0033440971223828164,0.0061162079510703364,1.0,0.9885714285714285,100,10
49,3.68702774075046,3.697167441221257,-0.010139700470797042,0.0,0.9831460674157303,1.0,100,10
50,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10
51,3.6947099167398205,3.697167441221257,-0.002457524481436657,0.0,0.9887005649717514,1.0,40,10
52,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,100,10
53,3.7111056128721,3.697167441221257,0.013938171650842879,0.015151515151515152,1.0,0.9714285714285714,40,10
54,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,40,10
55,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10
56,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10
57,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,40,10
58,3.6947099167398205,3.697167441221257,-0.002457524481436657,0.0,0.9887005649717514,1.0,40,10
59,3.6947099167398205,3.697167441221257,-0.002457524481436657,0.0,0.9887005649717514,1.0,40,40
60,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,80,10
61,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,40,10
62,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,80,10
63,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,60,20
64,3.70051153834364,3.697167441221257,0.0033440971223828164,0.0061162079510703364,1.0,0.9885714285714285,40,10
65,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,100,40
66,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,60,10
67,3.7098323237543926,3.697167441221257,0.012664882533135469,0.0061162079510703364,1.0,0.9885714285714285,100,10
68,3.68702774075046,3.697167441221257,-0.010139700470797042,0.0,0.9831460674157303,1.0,40,10
69,3.7116861342594603,3.697167441221257,0.014518693038203079,0.015151515151515152,1.0,0.9714285714285714,40,40
70,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,100,10
71,3.693832197148408,3.697167441221257,-0.0033352440728493526,0.0,0.9831460674157303,1.0,100,10
72,3.66073714816766,3.697167441221257,-0.03643029305359713,0.0,0.9562841530054644,1.0,40,10
73,3.6701042987876,3.697167441221257,-0.027063142433657372,0.0,0.9668508287292817,1.0,40,10
74,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10
75,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,40,10
76,3.58396328416438,3.697167441221257,-0.11320415705687736,0.0,0.8974358974358975,1.0,40,10
77,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,60,10
78,3.68702774075046,3.697167441221257,-0.010139700470797042,0.0,0.9831460674157303,1.0,100,10
79,3.64092269256804,3.697167441221257,-0.05624474865321716,0.0,0.9459459459459459,1.0,40,10
80,3.6845559316667393,3.697167441221257,-0.012611509554517841,0.0,0.9722222222222222,1.0,40,10
81,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,40,40
82,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,100,10
83,3.65117758692992,3.697167441221257,-0.045989854291337284,0.0,0.9510869565217391,1.0,40,10
84,3.68702774075046,3.697167441221257,-0.010139700470797042,0.0,0.9831460674157303,1.0,40,10
85,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,10
86,3.6701042987876,3.697167441221257,-0.027063142433657372,0.0,0.9668508287292817,1.0,40,10
87,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10
88,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,40,40
89,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,100,10
90,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10
91,3.6947372635981,3.697167441221257,-0.002430177623157004,0.0,0.9943181818181818,1.0,40,20
92,3.579054947541489,3.697167441221257,-0.11811249367976817,0.0,0.8838383838383839,1.0,40,10
93,3.69597919122916,3.697167441221257,-0.0011882499920972123,0.0,1.0,1.0,40,10
94,3.71032289140759,3.697167441221257,0.013155450186332907,0.009146341463414634,1.0,0.9828571428571429,40,10
95,3.68702774075046,3.697167441221257,-0.010139700470797042,0.0,0.9831460674157303,1.0,60,10
96,3.68702774075046,3.697167441221257,-0.010139700470797042,0.0,0.9831460674157303,1.0,40,10
97,3.69937419120658,3.697167441221257,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10
98,3.699204441207709,3.697167441221257,0.002036999986451793,0.0,1.0,1.0,40,10
99,3.6959170948476068,3.697167441221257,-0.0012503463736504017,0.0,0.9943181818181818,1.0,40,10
