rep,estimated_threshold,true_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf
25,3.69419032643251,3.697167441221257,-0.0029771147887469596,0.0,0.9887005649717514,1.0,100,10
26,2.38637461872373,3.697167441221257,-1.3107928224975272,0.0,0.4654255319148936,1.0,100,40
27,3.579718742938294,3.697167441221257,-0.117448698282963,0.0,0.8838383838383839,1.0,100,40
28,2.8669760701039215,3.697167441221257,-0.8301913711173357,0.0,0.5591054313099042,1.0,100,10
29,2.42063475976786,3.697167441221257,-1.2765326814533973,0.0,0.47043010752688175,1.0,100,10
30,2.4213009583036333,3.697167441221257,-1.2758664829176238,0.0,0.47043010752688175,1.0,40,10
31,2.57169577986039,3.697167441221257,-1.125471661360867,0.0,0.5,1.0,100,20
32,3.198613692296378,3.697167441221257,-0.49855374892487925,0.0,0.6756756756756757,1.0,40,20
33,2.4986874576386513,3.697167441221257,-1.1984799835826059,0.0,0.48746518105849584,1.0,40,10
34,3.3403279160623853,3.697167441221257,-0.35683952515887185,0.0,0.7415254237288136,1.0,40,10
35,2.93242638711678,3.697167441221257,-0.7647410541044772,0.0,0.5833333333333334,1.0,100,10
36,3.7111056128721,3.697167441221257,0.013938171650842879,0.015151515151515152,1.0,0.9714285714285714,60,40
37,2.42771882375081,3.697167441221257,-1.2694486174704473,0.0,0.4742547425474255,1.0,40,40
38,2.44191215821514,3.697167441221257,-1.2552552830061172,0.0,0.4768392370572207,1.0,100,20
39,2.57611752984138,3.697167441221257,-1.121049911379877,0.0,0.501432664756447,1.0,100,20
40,2.46759092757831,3.697167441221257,-1.229576513642947,0.0,0.48476454293628807,1.0,80,10
41,2.7815489274552956,3.697167441221257,-0.9156185137659616,0.0,0.5384615384615384,1.0,100,10
42,2.52679011146136,3.697167441221257,-1.1703773297598974,0.0,0.49295774647887325,1.0,40,10
43,2.5486845487561256,3.697167441221257,-1.1484828924651316,0.0,0.4971590909090909,1.0,100,40
44,3.515997822401594,3.697167441221257,-0.1811696188196632,0.0,0.8333333333333334,1.0,100,10
45,2.51503163475992,3.697167441221257,-1.182135806461337,0.0,0.49019607843137253,1.0,100,20
46,3.3472965721352685,3.697167441221257,-0.34987086908598863,0.0,0.7478632478632479,1.0,40,40
47,2.420017799150275,3.697167441221257,-1.2771496420709822,0.0,0.4691689008042895,1.0,60,40
48,3.3298752685106687,3.697167441221257,-0.36729217271058845,0.0,0.7383966244725738,1.0,100,40
49,2.7199346294645252,3.697167441221257,-0.9772328117567319,0.0,0.5223880597014925,1.0,100,40
50,2.9914208661964716,3.697167441221257,-0.7057465750247855,0.0,0.603448275862069,1.0,100,10
51,2.448869620577512,3.697167441221257,-1.2482978206437454,0.0,0.4794520547945205,1.0,80,10
52,3.2369406733750763,3.697167441221257,-0.4602267678461809,0.0,0.68359375,1.0,100,10
53,2.9138915970887096,3.697167441221257,-0.7832758441325476,0.0,0.5775577557755776,1.0,100,10
54,2.851588283776778,3.697167441221257,-0.8455791574444791,0.0,0.5573248407643312,1.0,80,10
55,3.70051153834364,3.697167441221257,0.0033440971223828164,0.0061162079510703364,1.0,0.9885714285714285,100,10
