rep,method,rmse,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
2,SS,0.8036912675961305,1,-0.12711077562960837,0.9900199600798403,0,static,power,500,0.1
2,RV,1.2649794380956756,2,15.827557814807177,0.14171656686626746,0,static,power,500,0.1
2,Oracle,,2,8.974649449465932,0.003992015968063872,1,static,power,500,0.1
2,DM,,2,0.5457919827031977,0.06387225548902195,1,static,power,500,0.1
2,cDM,,2,-0.10324535389228424,0.8542914171656687,0,static,power,500,0.1
2,SS,0.9978955296903925,2,0.9799852318776358,0.564870259481038,0,static,power,500,0.1
2,RV,1.2487993186085429,3,17.68089811097525,0.08982035928143713,1,static,power,500,0.1
2,Oracle,,3,7.578664394772748,0.003992015968063872,1,static,power,500,0.1
2,DM,,3,0.7980024207520877,0.05189620758483034,1,static,power,500,0.1
2,cDM,,3,-0.018410374516724712,0.5608782435129741,0,static,power,500,0.1
2,SS,1.3584909948329429,3,-2.5918612936599525,0.6187624750499002,0,static,power,500,0.1
2,RV,0.920958076960464,4,18.049520046533566,0.05189620758483034,1,static,power,500,0.1
2,Oracle,,4,11.385693873810338,0.1497005988023952,0,static,power,500,0.1
2,DM,,4,1.338852858146515,0.05788423153692615,1,static,power,500,0.1
2,cDM,,4,-0.08407178485666869,0.6127744510978044,0,static,power,500,0.1
2,SS,1.2697955844395876,4,0.49412721773475043,0.5489021956087824,0,static,power,500,0.1
3,RV,1.0502436929785344,0,-2.2337120903865655,0.2375249500998004,0,static,power,500,0.1
3,Oracle,,0,11.613981827965915,0.001996007984031936,1,static,power,500,0.1
3,DM,,0,-0.019312774687682933,0.5489021956087824,0,static,power,500,0.1
3,cDM,,0,0.04253709335449706,0.31137724550898205,0,static,power,500,0.1
3,SS,0.8075655788097971,0,1.7556975384926221,0.437125748502994,0,static,power,500,0.1
3,RV,1.0377969961429285,1,3.3307975712492,0.12574850299401197,0,static,power,500,0.1
3,Oracle,,1,11.90861897848244,0.001996007984031936,1,static,power,500,0.1
3,DM,,1,-0.13985247931599626,0.7245508982035929,0,static,power,500,0.1
3,cDM,,1,0.10041095633053437,0.10179640718562874,0,static,power,500,0.1
3,SS,0.8756565732088941,1,2.3298442889476334,0.7524950099800399,0,static,power,500,0.1
3,RV,1.0293950903137812,2,7.42328062257076,0.08982035928143713,1,static,power,500,0.1
3,Oracle,,2,14.107214561348963,0.005988023952095809,1,static,power,500,0.1
3,DM,,2,-0.3173331804445181,0.8502994011976048,0,static,power,500,0.1
3,cDM,,2,0.10675230529922779,0.16367265469061876,0,static,power,500,0.1
3,SS,0.9721803841698408,2,-1.5771777402753628,0.9241516966067864,0,static,power,500,0.1
3,RV,0.9106246465870931,3,15.766969096261557,0.05588822355289421,1,static,power,500,0.1
3,Oracle,,3,12.636942565988967,0.04590818363273453,1,static,power,500,0.1
3,DM,,3,-0.12083792897636257,0.5868263473053892,0,static,power,500,0.1
3,cDM,,3,0.15384329961682253,0.1217564870259481,0,static,power,500,0.1
3,SS,1.1272860585421947,3,1.3039417099767676,0.780439121756487,0,static,power,500,0.1
3,RV,0.7864474433763732,4,12.527860770344054,0.1996007984031936,0,static,power,500,0.1
3,Oracle,,4,6.898850384973826,0.1377245508982036,0,static,power,500,0.1
3,DM,,4,0.3117433314586143,0.34930139720558884,0,static,power,500,0.1
3,cDM,,4,0.03208013551481673,0.4311377245508982,0,static,power,500,0.1
3,SS,1.678679214627893,4,-5.944836179318731,0.6447105788423154,0,static,power,500,0.1
4,RV,1.0627761289135014,0,0.03699520846062363,0.16966067864271456,0,static,power,500,0.1
4,Oracle,,0,11.838315478866274,0.001996007984031936,1,static,power,500,0.1
4,DM,,0,0.21924095220232917,0.1936127744510978,0,static,power,500,0.1
4,cDM,,0,-0.03837290584148876,0.7305389221556886,0,static,power,500,0.1
4,SS,0.7740215716498435,0,0.6666512002928711,0.7724550898203593,0,static,power,500,0.1
4,RV,1.0848222228288522,1,1.883076444327854,0.11976047904191617,0,static,power,500,0.1
4,Oracle,,1,8.261737746615683,0.001996007984031936,1,static,power,500,0.1
4,DM,,1,0.47950032390237923,0.03592814371257485,1,static,power,500,0.1
4,cDM,,1,0.021321490811008106,0.42115768463073855,0,static,power,500,0.1
4,SS,0.9940645295400984,1,-1.0063700976731536,0.9021956087824351,0,static,power,500,0.1
4,RV,1.1053626618060024,2,6.834487657508522,0.04590818363273453,1,static,power,500,0.1
4,Oracle,,2,8.743370722070901,0.001996007984031936,1,static,power,500,0.1
4,DM,,2,0.7053090350847194,0.017964071856287425,1,static,power,500,0.1
4,cDM,,2,0.06079266962021734,0.2834331337325349,0,static,power,500,0.1
4,SS,1.1245042033009793,2,2.340048781724103,0.5249500998003992,0,static,power,500,0.1
4,RV,1.1774841815697983,3,5.758999066351477,0.34331337325349304,0,static,power,500,0.1
4,Oracle,,3,9.175513082856837,0.005988023952095809,1,static,power,500,0.1
4,DM,,3,0.7970149792446505,0.0499001996007984,1,static,power,500,0.1
4,cDM,,3,0.019271418856575986,0.47105788423153694,0,static,power,500,0.1
4,SS,1.5957983149567008,3,-2.805452327768499,0.4311377245508982,0,static,power,500,0.1
4,RV,1.1116972862203085,4,5.273056479246358,0.4630738522954092,0,static,power,500,0.1
4,Oracle,,4,12.077058875602267,0.08782435129740519,1,static,power,500,0.1
4,DM,,4,1.621859277543701,0.02594810379241517,1,static,power,500,0.1
4,cDM,,4,0.35279540335132453,0.09181636726546906,1,static,power,500,0.1
4,SS,2.1233232153306147,4,-0.8892870355612921,0.5369261477045908,0,static,power,500,0.1
5,RV,1.0766008265336937,0,-2.066110989756344,0.6646706586826348,0,static,power,500,0.1
5,Oracle,,0,10.44763315579559,0.001996007984031936,1,static,power,500,0.1
5,DM,,0,-0.22549117266875043,0.8762475049900199,0,static,power,500,0.1
5,cDM,,0,-0.025248114491174777,0.6307385229540918,0,static,power,500,0.1
5,SS,0.8332472299383447,0,5.483801241679829,0.3652694610778443,0,static,power,500,0.1
5,RV,1.1307207416003042,1,6.5960630888209435,0.1377245508982036,0,static,power,500,0.1
5,Oracle,,1,11.13327626656197,0.001996007984031936,1,static,power,500,0.1
5,DM,,1,-0.33994054131931,0.9121756487025948,0,static,power,500,0.1
5,cDM,,1,0.05245354912710858,0.2874251497005988,0,static,power,500,0.1
5,SS,0.9406735688583041,1,6.451715611379261,0.45708582834331335,0,static,power,500,0.1
5,RV,1.1153233433427363,2,7.017640213716295,0.14570858283433133,0,static,power,500,0.1
5,Oracle,,2,9.676406669306731,0.005988023952095809,1,static,power,500,0.1
5,DM,,2,-0.5461539070951775,0.9700598802395209,0,static,power,500,0.1
5,cDM,,2,-0.033887701223929506,0.6107784431137725,0,static,power,500,0.1
