rep,assumption,subgroup,method,statistic,group_size,true_threshold,estimated_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf,mean_true_tau,mean_tau_hat,pvalue,reject,stat
31,static,null_subgroup,RV,aipw,329,3.697167441221257,3.711076263689366,0.013908822468108983,0.0121580547112462,1.0,0.9771428571428571,40,20,-0.00182370820668693,0.0002447936437894438,0.5083056478405316,0,-0.00029321318113584153
32,static,effective_subgroup,RV,aipw,174,3.697167441221257,3.69937419120658,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10,-0.15,-0.05195380377187935,0.0033222591362126247,1,-0.16031470103306736
32,static,null_subgroup,RV,aipw,326,3.697167441221257,3.69937419120658,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,40,10,-0.00046012269938650307,0.004192131765649567,0.046511627906976744,1,0.006966209728025366
33,static,effective_subgroup,RV,aipw,170,3.697167441221257,3.7111056128721,0.013938171650842879,0.015151515151515152,1.0,0.9714285714285714,40,10,-0.14999999999999997,-0.06642584578599883,0.0033222591362126247,1,-0.14890105585115085
33,static,null_subgroup,RV,aipw,330,3.697167441221257,3.7111056128721,0.013938171650842879,0.015151515151515152,1.0,0.9714285714285714,40,10,-0.0022727272727272726,0.0011013020841906813,0.8073089700996677,0,-0.003026005933906372
34,static,effective_subgroup,RV,aipw,172,3.697167441221257,3.7105088423269286,0.013341401105671391,0.009146341463414634,1.0,0.9828571428571429,40,10,-0.15,-0.04269138251434019,0.0033222591362126247,1,-0.14913428238040113
34,static,null_subgroup,RV,aipw,328,3.697167441221257,3.7105088423269286,0.013341401105671391,0.009146341463414634,1.0,0.9828571428571429,40,10,-0.001371951219512195,0.0,0.8272425249169435,0,-0.004188620123774921
35,static,effective_subgroup,RV,aipw,178,3.697167441221257,3.68702774075046,-0.010139700470797042,0.0,0.9831460674157303,1.0,40,10,-0.14747191011235952,-0.05743429816576901,0.0033222591362126247,1,-0.15093993237071762
35,static,null_subgroup,RV,aipw,322,3.697167441221257,3.68702774075046,-0.010139700470797042,0.0,0.9831460674157303,1.0,40,10,0.0,0.0,0.023255813953488372,1,0.007998791483015081
36,static,effective_subgroup,RV,aipw,173,3.697167441221257,3.70051153834364,0.0033440971223828164,0.0061162079510703364,1.0,0.9885714285714285,60,10,-0.14999999999999997,-0.07400476316176313,0.0033222591362126247,1,-0.15647162411130028
36,static,null_subgroup,RV,aipw,327,3.697167441221257,3.70051153834364,0.0033440971223828164,0.0061162079510703364,1.0,0.9885714285714285,60,10,-0.0009174311926605504,0.0013562073322555854,0.9169435215946844,0,-0.006008475401381499
37,static,effective_subgroup,RV,aipw,173,3.697167441221257,3.7091581338747335,0.011990692653476298,0.0061162079510703364,1.0,0.9885714285714285,40,10,-0.14999999999999997,-0.05305513257426137,0.0033222591362126247,1,-0.1519074165777811
37,static,null_subgroup,RV,aipw,327,3.697167441221257,3.7091581338747335,0.011990692653476298,0.0061162079510703364,1.0,0.9885714285714285,40,10,-0.0009174311926605504,0.0023697082276514076,0.18272425249169436,0,0.0039033620465110594
38,static,effective_subgroup,RV,aipw,182,3.697167441221257,3.6698796252069488,-0.027287816014308408,0.0,0.9615384615384616,1.0,100,10,-0.14423076923076922,-0.036922243607419934,0.0033222591362126247,1,-0.13934501262487436
38,static,null_subgroup,RV,aipw,318,3.697167441221257,3.6698796252069488,-0.027287816014308408,0.0,0.9615384615384616,1.0,100,10,0.0,0.0,0.43853820598006643,0,0.00035357993749505335
39,static,effective_subgroup,RV,aipw,190,3.697167441221257,3.59824333385449,-0.09892410736676727,0.0,0.9210526315789473,1.0,40,10,-0.1381578947368421,-0.04020915273923894,0.0033222591362126247,1,-0.13894319539347338
39,static,null_subgroup,RV,aipw,310,3.697167441221257,3.59824333385449,-0.09892410736676727,0.0,0.9210526315789473,1.0,40,10,0.0,0.0,0.2059800664451827,0,0.003474756132964443
40,static,effective_subgroup,RV,aipw,175,3.697167441221257,3.69597919122916,-0.0011882499920972123,0.0,1.0,1.0,40,10,-0.15,-0.049186210391417164,0.0033222591362126247,1,-0.15974248334074884
40,static,null_subgroup,RV,aipw,325,3.697167441221257,3.69597919122916,-0.0011882499920972123,0.0,1.0,1.0,40,10,0.0,0.006299405515564414,0.9534883720930233,0,-0.006944260367677833
41,static,effective_subgroup,RV,aipw,225,3.697167441221257,3.413185599236613,-0.28398184198464405,0.0,0.7777777777777778,1.0,100,10,-0.11666666666666664,-0.04592368622364626,0.0033222591362126247,1,-0.1116218243995036
41,static,null_subgroup,RV,aipw,275,3.697167441221257,3.413185599236613,-0.28398184198464405,0.0,0.7777777777777778,1.0,100,10,0.0,0.005047009893079781,0.9435215946843853,0,-0.00776638467541792
42,static,effective_subgroup,RV,aipw,202,3.697167441221257,3.567516167037861,-0.1296512741833964,0.0,0.8663366336633663,1.0,60,10,-0.12995049504950493,-0.03939011750626498,0.0033222591362126247,1,-0.13469335009541444
42,static,null_subgroup,RV,aipw,298,3.697167441221257,3.567516167037861,-0.1296512741833964,0.0,0.8663366336633663,1.0,60,10,0.0,-0.0018525812553664284,0.8438538205980066,0,0.004169962479414505
43,static,effective_subgroup,RV,aipw,180,3.697167441221257,3.6842421791385997,-0.01292526208265743,0.0,0.9722222222222222,1.0,100,10,-0.14583333333333334,-0.03559147083687499,0.0033222591362126247,1,-0.14086997343279636
43,static,null_subgroup,RV,aipw,320,3.697167441221257,3.6842421791385997,-0.01292526208265743,0.0,0.9722222222222222,1.0,100,10,0.0,0.0,0.8372093023255814,0,-0.003778556247644847
44,static,effective_subgroup,RV,aipw,178,3.697167441221257,3.68702774075046,-0.010139700470797042,0.0,0.9831460674157303,1.0,100,20,-0.14747191011235952,-0.09230373850628032,0.0033222591362126247,1,-0.16788984121329215
44,static,null_subgroup,RV,aipw,322,3.697167441221257,3.68702774075046,-0.010139700470797042,0.0,0.9831460674157303,1.0,100,20,0.0,-8.626958384946931e-05,0.7475083056478405,0,0.0026686073997519476
45,static,effective_subgroup,RV,aipw,208,3.697167441221257,3.5276147937844238,-0.1695526474368334,0.0,0.8413461538461539,1.0,100,20,-0.12620192307692307,-0.0434220403830093,0.0033222591362126247,1,-0.13719042695916023
45,static,null_subgroup,RV,aipw,292,3.697167441221257,3.5276147937844238,-0.1695526474368334,0.0,0.8413461538461539,1.0,100,20,0.0,0.000978695576081571,0.4684385382059801,0,0.0006267763136264273
46,static,effective_subgroup,RV,aipw,173,3.697167441221257,3.70051153834364,0.0033440971223828164,0.0061162079510703364,1.0,0.9885714285714285,40,10,-0.14999999999999997,-0.05940223171147483,0.0033222591362126247,1,-0.15506843615777874
46,static,null_subgroup,RV,aipw,327,3.697167441221257,3.70051153834364,0.0033440971223828164,0.0061162079510703364,1.0,0.9885714285714285,40,10,-0.0009174311926605504,0.0010305389231764078,0.48172757475083056,0,7.520375465937152e-05
47,static,effective_subgroup,RV,aipw,190,3.697167441221257,3.604477017110763,-0.092690424110494,0.0,0.9210526315789473,1.0,60,40,-0.1381578947368421,-0.04065494426862308,0.0033222591362126247,1,-0.13978948877919273
47,static,null_subgroup,RV,aipw,310,3.697167441221257,3.604477017110763,-0.092690424110494,0.0,0.9210526315789473,1.0,60,40,0.0,-0.008204198727865717,0.7541528239202658,0,0.002542420650560896
48,static,effective_subgroup,RV,aipw,171,3.697167441221257,3.71051862921742,0.01335118799616275,0.0121580547112462,1.0,0.9771428571428571,80,40,-0.15,-0.07140980865788903,0.0033222591362126247,1,-0.149553911416491
