rep,N,M,assumption,option,experiment,method,dgp_name,tau_rmse,tau_nmse,tau_mse,tau_variance
4,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.7617939478604807,0.5892564733679034,3.1039179147178184,5.267516022314245
4,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.2555366375676003,0.012396540012927476,0.06529897313935512,5.267516022314245
4,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.3169007713564715,0.3292306343735332,1.7342276415992695,5.267516022314245
4,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.29453191034903775,0.016468681983380293,0.08674904621385363,5.267516022314245
4,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.1364411086211255,0.2451816734667666,1.2914983933640125,5.267516022314245
4,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.21330835030738335,0.008637933348111027,0.045500452310857364,5.267516022314245
4,25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.4927021591327416,0.04608536862264969,0.24275541761406544,5.267516022314245
4,25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.21330835030738335,0.008637933348111027,0.045500452310857364,5.267516022314245
4,25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.48244471793005045,0.0441864637663404,0.23275290585860592,5.267516022314245
4,25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.21330835030738335,0.008637933348111027,0.045500452310857364,5.267516022314245
4,25600,800,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.33770621611332924,0.021650715046420983,0.11404548840158263,5.267516022314245
4,25600,1600,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.21330835030738335,0.008637933348111027,0.045500452310857364,5.267516022314245
4,25600,1600,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.2340260896499173,0.010397350554762834,0.054768210636831134,5.267516022314245
4,25600,3200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.19513216079697926,0.007228560865500606,0.03807656017729817,5.267516022314245
4,25600,3200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.16954844395158308,0.005457349294169487,0.02874667484640311,5.267516022314245
5,25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.6962506156948349,0.09206259334603827,0.4847649198554367,5.265601393970481
5,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.632584212077495,0.5061779291871018,2.6653312095246946,5.265601393970481
5,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.24766820910190804,0.011649104672067456,0.06133954179974644,5.265601393970481
5,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.188840251026533,0.268410203643446,1.41334114246083,5.265601393970481
5,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.42676243830035404,0.034587916007583104,0.1821261787440635,5.265601393970481
5,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.9161138217682167,0.15938626410191062,0.8392645344347679,5.265601393970481
5,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.39906519106388727,0.030244033834618364,0.15925302671885685,5.265601393970481
5,25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.667678077127469,0.08466155740294029,0.4457940146766343,5.265601393970481
5,25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.21979951925604638,0.009174987822000706,0.048311828665189106,5.265601393970481
5,25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.4081499425162433,0.03163672354059442,0.16658637557601272,5.265601393970481
5,25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.23064544791117653,0.01010280092660684,0.05319732264214725,5.265601393970481
5,25600,800,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.3048499704007032,0.0176491719558806,0.09293350445330961,5.265601393970481
5,25600,1600,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.18075153963721688,0.006204632032845352,0.03267111908122439,5.265601393970481
5,25600,1600,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.25559757442226444,0.012406962692875506,0.06533012005054502,5.265601393970481
5,25600,3200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.1536228012719023,0.004481912568932803,0.023599965070626387,5.265601393970481
5,25600,3200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.20991982663381928,0.008368718084971659,0.04406633361397274,5.265601393970481
6,25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.7648366065183206,0.11113692764199325,0.5849750346704604,5.263552332082165
6,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.624732935635551,0.5015162661249112,2.639757112138916,5.263552332082165
6,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.2300283586835571,0.010052725319388962,0.0529130457986512,5.263552332082165
6,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.1443070247518914,0.24877468376542874,1.3094385668965256,5.263552332082165
6,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.2568113306550299,0.012529952281621504,0.06595205955280711,5.263552332082165
6,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.8275937771549925,0.1301234255449549,0.6849114599856674,5.263552332082165
6,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.17110732994857855,0.005562349629104951,0.02927771836213173,5.263552332082165
6,25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.8237759106406805,0.12892562059574658,0.6786067509518823,5.263552332082165
6,25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.20571397147330914,0.008039862699072116,0.042318238059321445,5.263552332082165
6,25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.46353343595360424,0.04082095753799756,0.2148632462469541,5.263552332082165
6,25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.18703747471567325,0.006646275127690708,0.034983016948016116,5.263552332082165
6,25600,800,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.30243039464716504,0.017376885007669037,0.09146414360643998,5.263552332082165
6,25600,1600,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.16627595900411674,0.005252668311896842,0.027647694542738712,5.263552332082165
6,25600,1600,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.21093170075771212,0.008452881167981229,0.04449218238454101,5.263552332082165
6,25600,3200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.1612994949463212,0.004942959702586683,0.026017527069938297,5.263552332082165
6,25600,3200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.17967523094327048,0.0061333461848087955,0.03228318861451759,5.263552332082165
